trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:38:00,18:38:00,de:09178:2841:0:1,8,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:39:00,18:39:00,de:09178:9402:0:1,9,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:40:00,18:40:00,de:09178:2846:0:2,10,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:42:00,18:42:00,de:09178:2844:0:2,11,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:43:00,18:43:00,de:09178:2842:0:1,12,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:44:00,18:44:00,de:09178:2836:0:4,13,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:45:00,18:45:00,de:09178:9405:0:1,14,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:46:00,18:46:00,de:09178:2837:0:1,15,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:47:00,18:47:00,de:09178:2678:0:1,16,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-44-53,18:50:00,18:50:00,de:09178:2831:1:1,17,Fahrt endet hier,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:44:00,18:44:00,de:09178:2831:1:1,1,Freising (S) [P+R] ü. Gute Änger,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:47:00,18:47:00,de:09178:2678:0:2,2,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:48:00,18:48:00,de:09178:2837:0:2,3,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:49:00,18:49:00,de:09178:9405:0:2,4,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:50:00,18:50:00,de:09178:2836:0:3,5,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:51:00,18:51:00,de:09178:2939:0:1,6,Freising (S) [P+R],0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:52:00,18:52:00,de:09178:2865:0:1,7,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:53:00,18:53:00,de:09178:2841:0:1,8,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:54:00,18:54:00,de:09178:9402:0:1,9,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:55:00,18:55:00,de:09178:2846:0:2,10,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:57:00,18:57:00,de:09178:2844:0:2,11,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:58:00,18:58:00,de:09178:2842:0:1,12,,0,0,,1
mvv-19-654-1-1-3-H-0-Mo#10-19-54,18:59:00,18:59:00,de:09178:2836:0:4,13,,0,0,,1
