trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,06:00:00,06:00:00,1PASS_MER,1
1,06:03:00,06:04:00,2PASS_MER,2
1,06:07:00,06:08:00,3PASS_MER,3
1,06:11:00,06:12:00,4PASS_MER,4
1,06:15:00,06:16:00,5PASS_MER,5
2,06:00:00,06:00:00,1PASS_MONT,1
2,06:03:00,06:04:00,2PASS_MONT,2
2,06:07:00,06:08:00,3PASS_MONT,3
2,06:11:00,06:12:00,4PASS_MONT,4
2,06:15:00,06:16:00,5PASS_MONT,5
