route_id,agency_id,route_short_name,route_long_name,route_type
ovf-1-5524-1,ovf-37,972,"Wessental-Wertheim, ZOB",3
omp-48-506-1,omp-48,506,Amerdingen - Ederheim - Nördlingen,3
omp-48-506R-1,omp-48,506,Amerdingen - Ederheim - Nördlingen,3
omp-56-078-1,omp-56,78,Weißenhorn - Finningen - Ulm,3
omp-56-855-1,omp-56,855,Riedhausen - Günzburg,3
omp-63-966-1,omp-63,966,Legau - Memmingen,3
omp-72-150R-1,omp-72,150,Hbf - ZUM - Jakobwiese - Stiftallmey - Rothkreuz - Buchenberg - Wengen - Weitnau - Isny,3
omp-93-050-1,omp-93,50,Kempten - Buchenberg - Wengen/Weitnau - Sibratshofen - Isny,3
omp-93-066-1,omp-93,66,Kempten - Krugzell - Altusried - Kimratshofen -Frauenzell - Leutkirch,3
omp-93-080-1,omp-93,80,Kreuzthal - Kempten,3
omp-94-0192-1,omp-94,192,"Lindau, Hauptbahnhof - Wangen",3
omp-95-086-1,omp-95,86,Unterfahlheim - Ulm gültig ab 14.12.2025,3
omp-99-9097-1,omp-99,9097,Dillingen - Wittislingen - Dischingen gültig ab 14.12.2025,3
omp-99-9105-1,omp-99,9105,Donauwörth - Dillingen - Sontheim/Brenz gültig ab 14.12.2025,3
vgn-63-817-1,vgn-WE,817,Rothenburg o.d.T.  -  Schnelldorf  -  Feuchtwangen,3
wvv-10-492e-1,Default,492,Würzburg Busbahnhof - Kist - Alterheim - Steinbach,3
vu-1-096-1,vu-58,96,"Amorbach, Bahnhof-Amorbach, Bahnhof",3
vu-1-096-2,Default,96,"Amorbach, Bahnhof-Amorbach, Bahnhof",3
vu-1-097-1,vu-58,97,"Amorbach, Schulzentrum-Amorbach, Schulzentrum",3
vu-1-097-2,Default,97,"Amorbach, Schulzentrum-Amorbach, Schulzentrum",3
vvs-10-024-1,vvs-10,S24,Filderstadt  - Flughafen/Messe - Stuttgart - Schorndorf,0
vvs-10-061-1,vvs-10,S61,Herrenberg - Renningen (- Stuttgart),0
vvs-11-040-1,vvs-10,RE40,Freudenstadt - Herrenberg,2
vvs-11-041-1,vvs-10,RB41,Freudenstadt - Herrenberg,2
vvs-11-SVG-1,vvs-37,SVG,Stuttgart - Horb - Konstanz,2
vvs-12-046-1,vvs-71,RB46,Böblingen - Holzgerlingen - Dettenhausen (Schönbuchbahn),2
vvs-12-047-1,vvs-71,RB47,Korntal - Hemmingen - Heimerdingen (Strohgäubahn),2
vvs-12-061-1,vvs-71,RB61,Schorndorf - Rudersberg (Wieslauftalbahn),2
vvs-12-065-1,vvs-71,RB65,Nürtingen - Neuffen (Tälesbahn),2
vvs-13-064-1,vvs-10,RB64,Oberlenningen - Kirchheim (T),2
vvs-20-001-1,vvs-01,U1,Heslach Vogelrain - Hauptbahnhof - Fellbach,0
vvs-20-011-1,vvs-01,U11,Hauptbahnhof - Berliner Platz - Charlottenplatz - NeckarPark (Stadion),0
vvs-20-012-1,vvs-01,U12,Dürrlewang - Hauptbahnhof - Remseck,0
vvs-20-013-1,vvs-01,U13,Hedelfingen - Bad Cannstatt - Feuerbach,0
vvs-20-014-1,vvs-01,U14,Vaihingen - Charlottenplatz - Mühlhausen,0
vvs-20-015-1,vvs-01,U15,Stammheim - Hauptbahnhof - Ruhbank (- Heumaden),0
vvs-20-016-1,vvs-01,U16,Fellbach - Bad Cannstatt - Feuerbach - Giebel,0
vvs-20-019-1,vvs-01,U19,Neugereut - Bad Cannstatt Wilhelmsplatz - NeckarPark (Stadion),0
vvs-20-002-1,vvs-01,U2,Botnang - Charlottenplatz - Neugereut,0
vvs-20-003-1,vvs-01,U3,Vaihingen - Möhringen - Plieningen,0
vvs-20-004-1,vvs-01,U4,Hölderlinplatz - Charlottenplatz - Untertürkheim,0
vvs-20-005-1,vvs-01,U5,Leinfelden Neuer Markt - Hauptbahnhof - Killesberg,0
vvs-20-006-1,vvs-01,U6,Flughafen/Messe - Hauptbahnhof - Gerlingen,0
vvs-20-007-1,vvs-01,U7,Ostfildern - Hauptbahnhof - Mönchfeld,0
vvs-20-008-1,vvs-01,U8,Vaihingen - Degerloch - Ostfildern,0
vvs-20-009-1,vvs-01,U9,Hedelfingen - Hauptbahnhof - Vogelsang (-Botnang),0
vvs-20-00U-1,vvs-01,U,Vaihingen Bf - Leinfelden Neuer Markt,0
vvs-21-010-1,vvs-01,10,Degerloch - Haigst - Marienplatz (Zahnradbahn Zacke),0
vvs-21-020-1,vvs-01,20,Waldfriedhof - Südheimer Platz (Seilbahn),0
vvs-30-001e-1,vvs-01,U1E,Heslach Vogelrain - Marienplatz,3
vvs-30-013e-1,vvs-01,U13E,Pragsattel - Feuerbach Pfostenwäldle,3
vvs-30-020e-1,vvs-01,20E,Waldfriedhof - Südheimer Platz,3
vvs-30-032-1,vvs-01,X2,Rotebühlplatz - Schwabstraße - Leonberg,3
vvs-30-033-1,vvs-01,10,Marienplatz - Degerloch (Zackebus),3
vvs-30-034-1,vvs-01,X4,Nürtingen - Bernhausen - Degerloch,3
vvs-30-037-1,vvs-01,X7,Degerloch - Landhaus - Harthausen,3
vvs-30-040-1,vvs-01,40,Vogelsang - Hauptbahnhof - Wagenburgstraße,3
vvs-30-041-1,vvs-01,41,Berliner Platz - Feuersee - Lerchenrainschule,3
vvs-30-042-1,vvs-01,42,Erwin-Schoettle-Platz - Hauptbahnhof - Schlossplatz,3
vvs-30-043-1,vvs-01,43,Feuersee - Rotebühlplatz (Stadtmitte) - Pragsattel,3
vvs-30-044-1,vvs-01,44,Westbahnhof - Hauptbahnhof - Killesberg,3
vvs-30-045-1,vvs-01,45,Buchwald - Wagenburgstraße - Mercedes-Benz-Welt - Bad Cannstatt,3
vvs-30-047-1,vvs-01,47,Hauptbahnhof - Wagenburgstraße,3
vvs-30-050-1,vvs-01,50,Westbahnhof - Doggenburg - Killesberg,3
vvs-30-052-1,vvs-01,52,Rosensteinbrücke - Hallschlag - Borkumstraße - (- Korntaler Straße),3
vvs-30-053-1,vvs-01,53,Mühlhausen - Zazenhausen -  Zuffenhausen (- Feuerbach),3
vvs-30-053e-1,vvs-01,53E,Mühlhausen - Zazenhausen Steigle,3
vvs-30-054-1,vvs-01,54,(Sommerrain -) Neugereut - Mühlhausen - Freiberg,3
vvs-30-056-1,vvs-01,56,Münster - Rosensteinbrücke,3
vvs-30-057-1,vvs-01,57,Pragsattel - R.-Bosch-Krankenhaus - Burgholzhof,3
vvs-30-058-1,vvs-01,58,Schmiden - Obere Ziegelei (- Sommerrain),3
vvs-30-059-1,vvs-01,59,Münster Rathaus - Münster Friedhof,3
vvs-30-006e-1,vvs-01,U6E,Pragsattel - Weilimdorf Löwen-Markt,3
vvs-30-060-1,vvs-01,60,Oeffingen - Fellbach - Untertürkheim,3
vvs-30-061-1,vvs-01,61,Obertürkheim - Untertürkheim - Rotenberg,3
vvs-30-062-1,vvs-01,62,Uhlbach - Obertürkheim - Rohracker,3
vvs-30-064-1,vvs-01,64,Frauenkopf - Stelle,3
vvs-30-065-1,vvs-01,65,Flughafen/Messe (SAB) - Plieningen - Obertürkheim (- Uhlbach),3
vvs-30-066-1,vvs-01,66,Geschwister-Scholl-Gymnasium - Kühwasen,3
vvs-30-070-1,vvs-01,70,Plieningen - Ruhbank (Fernsehturm) (- Hoffeld),3
vvs-30-071-1,vvs-01,71,Hoffeld - Degerloch ZOB - Schönberg,3
vvs-30-072-1,vvs-01,72,Fasanenhof - Möhringen Rathaus - Möhringen,3
vvs-30-073-1,vvs-01,73,Neuhausen - Plieningen Garbe - Degerloch,3
vvs-30-074-1,vvs-01,74,Nürtingen - Bernhausen - Degerloch,3
vvs-30-076-1,vvs-01,76,Echterdingen - Bernhausen - Degerloch,3
vvs-30-077-1,vvs-01,77,Degerloch - Echterdingen - Harthausen,3
vvs-30-080-1,vvs-01,80,Vaihingen Bf (Ost) - Synergiepark - Vaihingen Bf (Ost),3
vvs-30-081-1,vvs-01,81,Büsnau - Vaihingen - Dürrlewang,3
vvs-30-082-1,vvs-01,82,(Leinfelden Bf -) Rohr Mitte - Hans-Rehn-Stift - Vaihingen - Waldeck,3
vvs-30-084-1,vvs-01,84,Universität - Sindelfingen - Vaihingen,3
vvs-30-086-1,vvs-01,86,Vaihingen - Rohr Mitte - Leinfelden,3
vvs-30-090-1,vvs-01,90,Korntal - Weilimdorf - Giebel,3
vvs-30-091-1,vvs-01,91,Feuerbach - Botnang - Lauchhau (- Büsnauer Platz),3
vvs-30-092-1,vvs-01,92,Heslach Vogelrain - Leonberg - Stuttgart Rotebühlplatz,3
vvs-30-098-1,vvs-01,98,Tagfalterweg - Stammheim,3
vvs-30-099-1,vvs-01,99,Zuffenhausen - Schlotwiese - Korntaler Straße,3
vvs-31-101-1,vvs-69,101,Lerchenäcker - Esslingen (N) ZOB - Obertürkheim,3
vvs-31-102-1,vvs-69,102,Zell - Esslingen (N) ZOB - Weil - Mettingen,3
vvs-31-103-1,vvs-69,103,Hedelfingen - Weil - Esslingen (N) ZOB - Zell,3
vvs-31-104-1,vvs-69,104,Deizisau - Sirnau - Industriegebiet - Esslingen (N) ZOB,3
vvs-31-105-1,vvs-69,105,Essl. (N) Am Schönen Rain - Klinikum Esslingen - Essl. (N) ZOB,3
vvs-31-106-1,vvs-99,106,Esslingen (N) ZOB - Baltmannsweiler - Hohengehren (- Winterbach),3
vvs-31-107-1,vvs-99,107,Plochingen - Aichschieß - Schanbach - Aichelberg,3
vvs-31-108-1,vvs-69,108,Esslingen (N) ZOB - Jägerhaus (- Dulkhäusle),3
vvs-31-109-1,vvs-69,109,Esslingen ZOB - Sulzgries - Rüdern / Neckarhalde,3
vvs-31-110-1,vvs-69,110,Esslingen ZOB - Hohenkreuz - Wäldenbronn - Wiflingshausen,3
vvs-31-111-1,vvs-69,111,Esslingen ZOB - St. Bernhardt - Serach,3
vvs-31-113-1,vvs-69,113,Essl. (N) ZOB - Zollberg / - Adenauerbrücke - Berkheim,3
vvs-31-114-1,vvs-99,114,Esslingen (N) ZOB - Aichwald - Beutelsbach - Endersbach,3
vvs-31-114a-1,vvs-99,114A,Schülerverkehr: Zell Berufliches Schulzentrum - Aichwald,3
vvs-31-115-1,vvs-69,115,Zell - Oberesslingen - Esslingen (N) ZOB,3
vvs-31-118-1,vvs-69,118,Esslingen (N) ZOB - Pliensauvorstadt - Zollberg - Esslingen (N) ZOB,3
vvs-31-119-1,vvs-32,119,Denkendorf - Nellingen - Esslingen (N),3
vvs-31-120-1,vvs-32,120,(Wolfschlugen -) Neuhausen - Nellingen - Esslingen (N),3
vvs-31-121-1,vvs-32,121,Oberesslingen - Denkendorf - Neuhausen,3
vvs-31-122-1,vvs-32,122,Esslingen (N) - Scharnhausen - Flughafen/Messe,3
vvs-31-130-1,vvs-32,130,Esslingen (N) - Ruit - Heumaden - Kemnat (- Scharnhausen),3
vvs-31-131-1,vvs-32,131,Esslingen (N) - Ruit - Heumaden - Kemnat,3
