distance_km,dist_to_600,co2_train_kg,co2_avion_kg,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,is_substitutable
173.2949328599698,-426.7050671400302,1.3756151770424403,107.42752582906706,7,1383929.0,64186.0,1092027.0,35409.0,21.5612283052379,30.840379564517495,34.0,348.0,0.0977011494252873,1
682.9786712188458,82.97867121884576,5.421484692135198,179.3918991141261,12,5243022.0,179116.0,4448487.0,318325.0,29.271656356774383,13.974670541113642,3.0,85.0,0.0352941176470588,0
397.6108974955755,-202.3891025044245,3.1562353043198788,115.89786061301,12,2313942.0,55790.0,68925312.0,2103778.0,41.47592758558881,32.76263560128493,47.0,100.0,0.47,1
110.9256225477214,-489.0743774522786,3.3264375689610692,71.21364711401948,12,1248583.0,46080.0,1506642.0,45337.0,27.095985243055555,33.23206211262325,10.0,20.0,0.5,1
126.25178904877704,-473.748210951223,1.002186701469192,81.25183133209318,7,188743.0,3579.0,1383929.0,64186.0,52.73623917295334,21.5612283052379,35.0,303.0,0.1155115511551155,1
172.2199307261613,-427.7800692738387,1.3670818101042683,103.60464132574845,0,398579.0,13527.0,68925312.0,2103778.0,29.465439491387595,32.76263560128493,58.0,297.0,0.1952861952861952,1
102.49862920855664,-497.5013707914434,1.9888834011628336,0.0,7,43205.0,157.0,0.0,0.0,275.1910828025478,0.0,134.0,373.0,0.3592493297587131,1
140.00784514609845,-459.9921548539015,8.026649762225825,91.2387826491254,12,0.0,278609.0,0.0,963395.0,0.0,0.0,4.0,1298.0,0.0030816640986132,0
113.39724643411866,-486.60275356588136,0.1000163713548926,64.54580184351497,12,0.0,358.0,0.0,81691.0,0.0,0.0,588.0,5443.0,0.1080286606650744,1
113.12046138909184,-486.8795386109082,2.194989432793938,74.6408369082281,8,0.0,0.0,0.0,0.0,0.0,0.0,138.0,1814.0,0.0760749724366041,1
111.89567273714071,-488.1043272628593,0.888227850187423,67.35658203687511,12,56169.0,7580.0,3339139.0,92188.0,7.410158311345646,36.22097236082787,7.0,13.0,0.5384615384615384,1
558.6072153638208,-41.39278463617916,10.83921440691958,149.7298000464787,12,89813.0,0.0,45927.0,813.0,0.0,56.49077490774908,5.0,105.0,0.0476190476190476,1
108.70040604218228,-491.2995939578177,2.1092226788425052,72.38299467648828,12,1500456.0,45560.0,6048.0,15806.0,32.93362598770852,0.3826395039858282,4.0,996.0,0.0040160642570281,1
117.88318748629644,-482.11681251370356,0.9357567422662212,72.1253393724459,12,422474.0,5350.0,56169.0,456.0,78.96710280373831,123.17763157894737,1.0,504.0,0.0019841269841269,1
818.8036965178595,218.80369651785952,6.499663742958769,223.55160564733907,12,1070109.0,7111.0,0.0,3199.0,150.48642947546057,0.0,2.0,10.0,0.2,0
114.42321639084138,-485.5767836091586,0.9082914917104988,0.0,12,518190.0,690.0,734537.0,16442.0,751.0,44.67443133438754,98.0,380.0,0.2578947368421053,1
133.10516767850973,-466.8948323214903,6.691729199869398,79.2068703561811,12,28711.0,54678.0,0.0,217123.0,0.5250923589012034,0.0,31.0,319.0,0.0971786833855799,1
121.05122619154294,-478.9487738084571,4.484221623039517,80.2663689544713,7,0.0,0.0,0.0,195278.0,0.0,0.0,29.0,189.0,0.1534391534391534,1
198.00616736009897,-401.99383263990103,11.351693574754474,82.4940250738968,5,0.0,143345.0,0.0,0.0,0.0,0.0,2.0,203.0,0.0098522167487684,0
161.6693911426923,-438.3306088573077,0.1425924029878546,103.6320867014909,14,0.0,0.0,0.0,177595.0,0.0,0.0,182.0,2786.0,0.0653266331658291,1
