distance_km,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,co2_saved_kg
284.9378092440751,12,0.0,59238.0,8244.0,63185.0,0.0,0.13047400490622774,1.0,478.0,0.002092050209205,97.22467532070966
121.1892082791134,7,188743.0,3579.0,42434779.0,519127.0,52.73623917295334,81.74257744251406,21.0,303.0,0.0693069306930693,81.68061409787363
158.50916778429652,4,3339139.0,92188.0,8776384.0,156140.0,36.22097236082787,56.20842833354682,3.0,849.0,0.0035335689045936,102.02660985757096
147.26319114975118,12,253768.0,12576.0,126743.0,380.0,20.178753180661577,333.5342105263158,23.0,62.0,0.3709677419354839,99.80341790627948
107.82999923555444,8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,844.0,0.0118483412322274,69.78580123734179
102.7074034743144,12,0.0,41132.0,0.0,0.0,0.0,0.0,6.0,305.0,0.0196721311475409,69.28197662759283
150.43931658009038,13,17863802.0,886040.0,4561.0,8726.0,20.16139451943479,0.5226908090763236,2.0,792.0,0.0025252525252525,83.80471734968022
147.26598543197835,12,122704.0,3412.0,38857.0,22044.0,35.96248534583822,1.7627018689892942,5.0,10.0,0.5,94.18080784157704
242.0663112808008,9,11803.0,0.0,0.0,215966.0,0.0,0.0,12.0,153.0,0.0784313725490196,78.42355667427762
146.57620088440476,13,253061.0,7877.0,111576.0,4665.0,32.126571029579786,23.917684887459806,136.0,435.0,0.3126436781609195,87.15331529507255
108.36332092612231,13,0.0,107319.0,0.0,64779.0,0.0,0.0,15.0,424.0,0.035377358490566,63.32840180815277
112.13469521436366,12,503306.0,12469.0,1104562.0,9542.0,40.364584168738475,115.75791238734018,39.0,86.0,0.4534883720930232,73.92206589908382
108.17114958642874,12,0.0,143345.0,28711.0,112627.0,0.0,0.254921111278823,14.0,582.0,0.0240549828178694,61.092870278749984
296.67449637417775,12,1311843.0,27106.0,89813.0,519127.0,48.39677562163359,0.17300776110662708,56.0,579.0,0.0967184801381692,97.72329098132684
115.91975252770054,12,23006240.0,267991.0,1706718.0,32801.0,85.84706202820244,52.03249900917655,25.0,360.0,0.0694444444444444,73.15731779820912
133.76291408899948,14,106903.0,139111.0,0.0,0.0,0.7684726585244877,0.0,5.0,13427.0,0.0003723840023832,90.81900360473928
125.448477445663,12,0.0,18097.0,0.0,47906.0,0.0,0.0,13.0,223.0,0.0582959641255605,72.48265899737822
127.84953702575235,12,0.0,47906.0,0.0,0.0,0.0,0.0,7.0,227.0,0.0308370044052863,72.34500625165171
119.6470616839905,12,28466.0,1019.0,54688.0,1369.0,27.93523061825319,39.947406866325785,20.0,120.0,0.1666666666666666,73.89864758125624
117.81849453872228,13,0.0,0.0,0.0,81275.0,0.0,0.0,2.0,261.0,0.0076628352490421,70.52650297333722
113.73762657620898,12,662172.0,12326.0,17553626.0,327734.0,53.72156417329223,53.56058877016117,118.0,315.0,0.3746031746031746,68.2325307671119
181.62565073655676,12,966833.0,26241.0,34742.0,2892.0,36.84436568728326,12.01313969571231,7.0,195.0,0.0358974358974358,106.5752142458971
130.22575351770513,12,92478.0,2909.0,0.0,5352.0,31.790305947060844,0.0,35.0,130.0,0.2692307692307692,83.23354860522544
223.95767554806528,4,149961.0,75580.0,3339139.0,92188.0,1.984136014818735,36.22097236082787,5.0,259.0,0.0193050193050193,86.22468890203629
198.45141152493392,12,1537304.0,0.0,1890.0,524.0,0.0,3.6068702290076335,5.0,521.0,0.0095969289827255,77.17722732152129
654.7946149181954,12,0.0,159022.0,17863802.0,886040.0,0.0,20.16139451943479,17.0,324.0,0.0524691358024691,165.9723974978887
162.64332659384291,12,1074161.0,18262.0,203396.0,42971.0,58.819461176212904,4.7333317818994205,20.0,686.0,0.0291545189504373,96.1789039564281
130.53606641440447,13,0.0,65306.0,0.0,58403.0,0.0,0.0,4.0,613.0,0.0065252854812398,85.03726116575345
250.5796433990436,13,0.0,0.0,556567.0,3124.0,0.0,178.15845070422534,150.0,1818.0,0.0825082508250825,102.51125867941508
125.9340135705487,13,116615.0,0.0,0.0,0.0,0.0,0.0,30.0,168.0,0.1785714285714285,92.41652227786356
114.26121059897484,12,0.0,143345.0,0.0,0.0,0.0,0.0,4.0,746.0,0.0053619302949061,65.84732357343557
