route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-135-R-58-Special#727-195-166,ddb-90-T87-1-1-135-R-58,Aschaffenburg Hbf,23384,1,,2
ddb-90-T87-1,Special#469,ddb-90-T87-1-1-142-R-65-Special#469-206-167,ddb-90-T87-1-1-142-R-65,Miltenberg,23386,1,,2
ddb-90-T87-1,Special#5456,ddb-90-T87-1-1-142-R-65-Special#5456-205-168,ddb-90-T87-1-1-142-R-65,Miltenberg,23386,1,,2
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-143-R-66-Special#727-207-169,ddb-90-T87-1-1-143-R-66,Aschaffenburg Hbf,23386,1,,2
ddb-90-T87-1,Special#469,ddb-90-T87-1-1-142-R-65-Special#469-209-170,ddb-90-T87-1-1-142-R-65,Miltenberg,23388,1,,2
ddb-90-T87-1,Special#5456,ddb-90-T87-1-1-142-R-65-Special#5456-208-171,ddb-90-T87-1-1-142-R-65,Miltenberg,23388,1,,2
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-143-R-66-Special#727-210-172,ddb-90-T87-1-1-143-R-66,Aschaffenburg Hbf,23388,1,,2
ddb-90-T87-1,Special#469,ddb-90-T87-1-1-142-R-65-Special#469-212-173,ddb-90-T87-1-1-142-R-65,Miltenberg,23390,1,,2
ddb-90-T87-1,Special#5456,ddb-90-T87-1-1-142-R-65-Special#5456-211-174,ddb-90-T87-1-1-142-R-65,Miltenberg,23390,1,,2
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-143-R-66-Special#727-213-175,ddb-90-T87-1-1-143-R-66,Aschaffenburg Hbf,23390,1,,2
ddb-90-T87-1,Special#469,ddb-90-T87-1-1-142-R-65-Special#469-215-176,ddb-90-T87-1-1-142-R-65,Miltenberg,23392,1,,2
ddb-90-T87-1,Special#5456,ddb-90-T87-1-1-142-R-65-Special#5456-214-177,ddb-90-T87-1-1-142-R-65,Miltenberg,23392,1,,2
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-143-R-66-Special#727-216-178,ddb-90-T87-1-1-143-R-66,Aschaffenburg Hbf,23392,1,,2
ddb-90-T87-1,Special#469,ddb-90-T87-1-1-142-R-65-Special#469-218-179,ddb-90-T87-1-1-142-R-65,Miltenberg,23394,1,,2
ddb-90-T87-1,Special#5456,ddb-90-T87-1-1-142-R-65-Special#5456-217-180,ddb-90-T87-1-1-142-R-65,Miltenberg,23394,1,,2
ddb-90-T87-1,Special#727,ddb-90-T87-1-1-143-R-66-Special#727-219-181,ddb-90-T87-1-1-143-R-66,Aschaffenburg Hbf,23394,1,,2
ddb-90-T87-1,Special#8807,ddb-90-T87-1-1-136-R-59-Special#8807-196-182,ddb-90-T87-1-1-136-R-59,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#2515,ddb-90-T87-1-1-137-R-60-Special#2515-197-183,ddb-90-T87-1-1-137-R-60,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#117,ddb-90-T87-1-1-138-R-61-Special#117-198-184,ddb-90-T87-1-1-138-R-61,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#123,ddb-90-T87-1-1-139-R-62-Special#123-199-185,ddb-90-T87-1-1-139-R-62,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-140-R-63-Special#4862-203-186,ddb-90-T87-1-1-140-R-63,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#2783,ddb-90-T87-1-1-140-R-63-Special#2783-200-187,ddb-90-T87-1-1-140-R-63,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#8812,ddb-90-T87-1-1-140-R-63-Special#8812-202-188,ddb-90-T87-1-1-140-R-63,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#4914,ddb-90-T87-1-1-141-R-64-Special#4914-204-189,ddb-90-T87-1-1-141-R-64,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#5781,ddb-90-T87-1-1-141-R-64-Special#5781-201-190,ddb-90-T87-1-1-141-R-64,Aschaffenburg Hbf,23396,1,,2
ddb-90-T87-1,Special#8810,ddb-90-T87-1-1-108-R-31-Special#8810-151-191,ddb-90-T87-1-1-108-R-31,Aschaffenburg Hbf,26222,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-109-R-32-Special#1317-152-192,ddb-90-T87-1-1-109-R-32,Aschaffenburg Hbf,26222,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-110-R-33-Special#4862-154-193,ddb-90-T87-1-1-110-R-33,Aschaffenburg Hbf,26222,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-110-R-33-Special#8813-153-194,ddb-90-T87-1-1-110-R-33,Aschaffenburg Hbf,26222,1,,2
ddb-90-T87-1,Special#8810,ddb-90-T87-1-1-108-R-31-Special#8810-155-195,ddb-90-T87-1-1-108-R-31,Aschaffenburg Hbf,26224,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-109-R-32-Special#1317-156-196,ddb-90-T87-1-1-109-R-32,Aschaffenburg Hbf,26224,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-110-R-33-Special#4862-158-197,ddb-90-T87-1-1-110-R-33,Aschaffenburg Hbf,26224,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-110-R-33-Special#8813-157-198,ddb-90-T87-1-1-110-R-33,Aschaffenburg Hbf,26224,1,,2
ddb-90-T87-1,Special#2831,ddb-90-T87-1-1-111-R-34-Special#2831-159-199,ddb-90-T87-1-1-111-R-34,Aschaffenburg Hbf,26228,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-112-R-35-Special#1317-160-200,ddb-90-T87-1-1-112-R-35,Aschaffenburg Hbf,26228,1,,2
ddb-90-T87-1,Special#2725,ddb-90-T87-1-1-113-R-36-Special#2725-161-201,ddb-90-T87-1-1-113-R-36,Aschaffenburg Hbf,26228,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-114-R-37-Special#4862-163-202,ddb-90-T87-1-1-114-R-37,Aschaffenburg Hbf,26228,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-114-R-37-Special#8813-162-203,ddb-90-T87-1-1-114-R-37,Aschaffenburg Hbf,26228,1,,2
ddb-90-T87-1,Special#8810,ddb-90-T87-1-1-115-R-38-Special#8810-164-204,ddb-90-T87-1-1-115-R-38,Aschaffenburg Hbf,26230,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-116-R-39-Special#1317-165-205,ddb-90-T87-1-1-116-R-39,Aschaffenburg Hbf,26230,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-117-R-40-Special#4862-167-206,ddb-90-T87-1-1-117-R-40,Aschaffenburg Hbf,26230,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-117-R-40-Special#8813-166-207,ddb-90-T87-1-1-117-R-40,Aschaffenburg Hbf,26230,1,,2
ddb-90-T87-1,Special#8810,ddb-90-T87-1-1-118-R-41-Special#8810-168-208,ddb-90-T87-1-1-118-R-41,Aschaffenburg Hbf,26232,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-119-R-42-Special#1317-169-209,ddb-90-T87-1-1-119-R-42,Aschaffenburg Hbf,26232,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-120-R-43-Special#4862-171-210,ddb-90-T87-1-1-120-R-43,Aschaffenburg Hbf,26232,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-120-R-43-Special#8813-170-211,ddb-90-T87-1-1-120-R-43,Aschaffenburg Hbf,26232,1,,2
ddb-90-T87-1,Special#1317,ddb-90-T87-1-1-112-R-35-Special#1317-174-212,ddb-90-T87-1-1-112-R-35,Aschaffenburg Hbf,26234,1,,2
ddb-90-T87-1,Special#8814,ddb-90-T87-1-1-113-R-36-Special#8814-172-213,ddb-90-T87-1-1-113-R-36,Aschaffenburg Hbf,26234,1,,2
ddb-90-T87-1,Special#4862,ddb-90-T87-1-1-114-R-37-Special#4862-176-214,ddb-90-T87-1-1-114-R-37,Aschaffenburg Hbf,26234,1,,2
ddb-90-T87-1,Special#8813,ddb-90-T87-1-1-114-R-37-Special#8813-175-215,ddb-90-T87-1-1-114-R-37,Aschaffenburg Hbf,26234,1,,2
ddb-90-T87-1,Special#2423,ddb-90-T87-1-1-118-R-41-Special#2423-173-216,ddb-90-T87-1-1-118-R-41,Aschaffenburg Hbf,26234,1,,2
ddb-90-T87-1,Special#8815,ddb-90-T87-1-1-76-R-0-Special#8815-94-217,ddb-90-T87-1-1-76-R-0,"Lauda, Bahnhof",23428,1,,2
ddb-90-T87-1,Special#1125,ddb-90-T87-1-1-77-R-1-Special#1125-95-218,ddb-90-T87-1-1-77-R-1,"Lauda, Bahnhof",23428,1,,2
ddb-90-T87-1,Special#243,ddb-90-T87-1-1-78-R-2-Special#243-96-219,ddb-90-T87-1-1-78-R-2,"Lauda, Bahnhof",23428,1,,2
ddb-90-T87W-1,Special#3,ddb-90-T87W-1-1-7-H-2-Special#3-3-1,ddb-90-T87W-1-1-7-H-2,"Osterburken, Bahnhof",23455,0,,2
ddb-90-T87W-1,Special#8816,ddb-90-T87W-1-1-5-H-0-Special#8816-1-2,ddb-90-T87W-1-1-5-H-0,"Osterburken, Bahnhof",23457,0,,2
ddb-90-T87W-1,Special#2548,ddb-90-T87W-1-1-6-H-1-Special#2548-2-3,ddb-90-T87W-1-1-6-H-1,"Osterburken, Bahnhof",23457,0,,2
ddb-90-T87W-1,Special#3,ddb-90-T87W-1-1-9-R-1-Special#3-5-4,ddb-90-T87W-1-1-9-R-1,"Tauberbischofsheim, Bahnhof",23454,1,,2
ddb-90-T87W-1,Special#5,ddb-90-T87W-1-1-8-R-0-Special#5-4-5,ddb-90-T87W-1-1-8-R-0,"Lauda, Bahnhof",23456,1,,2
ddb-90-T88-1,Special#8817,ddb-90-T88-1-1-46-H-30-Special#8817-50-1,ddb-90-T88-1-1-46-H-30,Crailsheim Bahnhof,23341,0,,2
ddb-90-T88-1,Special#5104,ddb-90-T88-1-1-47-H-31-Special#5104-53-2,ddb-90-T88-1-1-47-H-31,Crailsheim Bahnhof,23341,0,,2
ddb-90-T88-1,Special#681,ddb-90-T88-1-1-47-H-31-Special#681-51-3,ddb-90-T88-1-1-47-H-31,Crailsheim Bahnhof,23341,0,,2
ddb-90-T88-1,Special#5472,ddb-90-T88-1-1-48-H-32-Special#5472-52-4,ddb-90-T88-1-1-48-H-32,Crailsheim Bahnhof,23341,0,,2
ddb-90-T88-1,Special#3,ddb-90-T88-1-1-16-H-0-Special#3-1-5,ddb-90-T88-1-1-16-H-0,"Bad Mergentheim, Bahnhof",23343,0,,2
ddb-90-T88-1,Special#3133,ddb-90-T88-1-1-34-H-18-Special#3133-31-6,ddb-90-T88-1-1-34-H-18,"Bad Mergentheim, Bahnhof",23347,0,,2
ddb-90-T88-1,Special#2548,ddb-90-T88-1-1-35-H-19-Special#2548-32-7,ddb-90-T88-1-1-35-H-19,"Bad Mergentheim, Bahnhof",23347,0,,2
ddb-90-T88-1,Special#2548,ddb-90-T88-1-1-34-H-18-Special#2548-34-8,ddb-90-T88-1-1-34-H-18,"Bad Mergentheim, Bahnhof",23349,0,,2
ddb-90-T88-1,Special#8818,ddb-90-T88-1-1-35-H-19-Special#8818-33-9,ddb-90-T88-1-1-35-H-19,"Bad Mergentheim, Bahnhof",23349,0,,2
ddb-90-T88-1,Special#5104,ddb-90-T88-1-1-36-H-20-Special#5104-35-10,ddb-90-T88-1-1-36-H-20,"Bad Mergentheim, Bahnhof",23349,0,,2
ddb-90-T88-1,Special#3133,ddb-90-T88-1-1-37-H-21-Special#3133-36-11,ddb-90-T88-1-1-37-H-21,"Bad Mergentheim, Bahnhof",23351,0,,2
ddb-90-T88-1,Special#2548,ddb-90-T88-1-1-38-H-22-Special#2548-37-12,ddb-90-T88-1-1-38-H-22,"Bad Mergentheim, Bahnhof",23351,0,,2
ddb-90-T88-1,Special#3,ddb-90-T88-1-1-38-H-22-Special#3-38-13,ddb-90-T88-1-1-38-H-22,"Bad Mergentheim, Bahnhof",23353,0,,2
