route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
din-87-006-1,Special#4440,din-87-006-1-1-2-R-0-Special#4440-48-239,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4435,din-87-006-1-1-2-R-0-Special#4435-48-240,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#117,din-87-006-1-1-2-R-0-Special#117-36-241,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4440,din-87-006-1-1-2-R-0-Special#4440-49-242,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#117,din-87-006-1-1-2-R-0-Special#117-37-243,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4440,din-87-006-1-1-2-R-0-Special#4440-50-244,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#117,din-87-006-1-1-2-R-0-Special#117-38-245,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4440,din-87-006-1-1-2-R-0-Special#4440-51-246,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#117,din-87-006-1-1-2-R-0-Special#117-39-247,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4440,din-87-006-1-1-2-R-0-Special#4440-52-248,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#117,din-87-006-1-1-2-R-0-Special#117-40-249,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-53-250,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-54-251,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-55-252,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-56-253,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-57-254,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-58-255,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
din-87-006-1,Special#4444,din-87-006-1-1-2-R-0-Special#4444-59-256,din-87-006-1-1-2-R-0,Ulm Hauptbahnhof,,1,,1
