stop_id,station_name,stop_country,stop_timezone,station_lat,station_long,location_type,stop_name_romanized,stop_name_alt,stop_cityname,stop_cityname_romanized,stop_cityname_alt,stop_tariffname,stop_charge,stop_uic_code,stop_code,stop_region,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29
Altenstadt,Altenstadt,AT,CET,47.25626,9.61539,1.0,,,,,,AT_3.d,,,455,Vorarlberg,,,,,,,,,,,,,
Altmünster am Traunsee,Altmünster am Traunsee,AT,CET,47.90129,13.76727,1.0,,,,,,AT_3.d,,,376,Oberösterreich,,,,,,,,,,,,,
Amstetten (NÖ),Amstetten (NÖ),AT,CET,48.12176,14.87817,1.0,,,,,,AT_3.c,"44,46 €",,55,Niederösterreich,,,,,,,,,,,,,
Andorf,Andorf,AT,CET,48.37104,13.57385,1.0,,,,,,AT_3.d,,,13,Oberösterreich,,,,,,,,,,,,,
Angern,Angern,AT,CET,48.38047,15.65075,1.0,,,,,,AT_3.c,,,15,Niederösterreich,,,,,,,,,,,,,
Annenheim,Annenheim,AT,CET,46.65935,13.90286,1.0,,,,,,AT_3.d,,,1932,Kärnten,,,,,,,,,,,,,
Ansfelden,Ansfelden,AT,CET,48.20773,14.29127,1.0,,,,,,AT_3.d,,,2192,Oberösterreich,,,,,,,,,,,,,
Antiesenhofen,Antiesenhofen,AT,CET,48.34557,13.4003,1.0,,,,,,AT_3.d,,,66,Oberösterreich,,,,,,,,,,,,,
Arbing,Arbing,AT,CET,48.2289,14.70369,1.0,,,,,,AT_3.d,,,80,Oberösterreich,,,,,,,,,,,,,
Ardning,Ardning,AT,CET,47.59097,14.36398,1.0,,,,,,AT_3.d,,,79,Steiermark,,,,,,,,,,,,,
Arnoldstein,Arnoldstein,AT,CET,46.54999,13.70576,1.0,,,,,,AT_3.d,,,296,Kärnten,,,,,,,,,,,,,
Aschbach Haltestelle,Aschbach Haltestelle,AT,CET,48.07289,14.75299,1.0,,,,,,AT_3.d,,,1265643,Niederösterreich,,,,,,,,,,,,,
Aspang,Aspang,AT,CET,47.56181,16.08566,1.0,,,,,,AT_3.d,,,75,Niederösterreich,,,,,,,,,,,,,
Asten-Fisching,Asten-Fisching,AT,CET,48.22327,14.42789,1.0,,,,,,AT_3.c,,,1397220,Oberösterreich,,,,,,,,,,,,,
Attnang-Puchheim,Attnang-Puchheim,AT,CET,48.01243,13.72096,1.0,,,,,,AT_3.b,,,91,Oberösterreich,,,,,,,,,,,,,
Atzenbrugg,Atzenbrugg,AT,CET,48.29146,15.90562,1.0,,,,,,AT_3.d,,,1387,Niederösterreich,,,,,,,,,,,,,
Aurachkirchen,Aurachkirchen,AT,CET,47.96824,13.74566,1.0,,,,,,AT_3.d,,,34,Oberösterreich,,,,,,,,,,,,,
Aurolzmünster,Aurolzmünster,AT,CET,48.24762,13.45615,1.0,,,,,,AT_3.d,,,1826,Oberösterreich,,,,,,,,,,,,,
Ausschlag-Zöbern,Ausschlag-Zöbern,AT,CET,47.5316,16.08702,1.0,,,,,,AT_3.d,,,99,Niederösterreich,,,,,,,,,,,,,
Bad Aussee,Bad Aussee,AT,CET,47.60928,13.78263,1.0,,,,,,AT_3.d,,,97,Steiermark,,,,,,,,,,,,,
Bad Blumau,Bad Blumau,AT,CET,47.11679,16.05204,1.0,,,,,,AT_3.d,,,1975,Steiermark,,,,,,,,,,,,,
Bad Deutsch Altenburg,Bad Deutsch Altenburg,AT,CET,48.13187,16.90388,1.0,,,,,,AT_3.d,,,143,Niederösterreich,,,,,,,,,,,,,
Bad Erlach,Bad Erlach,AT,CET,47.72722,16.21444,1.0,,,,,,AT_3.d,,,359,Niederösterreich,,,,,,,,,,,,,
Bad Fischau,Bad Fischau,AT,CET,47.83147,16.16672,1.0,,,,,,AT_3.d,,,442,Niederösterreich,,,,,,,,,,,,,
Bad Fischau-Brunn,Bad Fischau-Brunn,AT,CET,47.83147,16.16672,1.0,,,,,,AT_3.d,,,440,Niederösterreich,,,,,,,,,,,,,
Bad Gastein,Bad Gastein,AT,CET,47.11409,13.13266,1.0,,,,,,AT_3.d,,,121,Salzburg,,,,,,,,,,,,,
Bad Goisern,Bad Goisern,AT,CET,47.64622,13.61589,1.0,,,,,,AT_3.d,,,666,Oberösterreich,,,,,,,,,,,,,
