origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Aberdeen,London Euston,InterCity,57.14469,-2.0964,51.52817,-0.13308,2026-03-16 21:43:00,2026-03-16 08:00:00,,back_on_track,BackOnTrack,Aberdeen,London Euston,637.2963549703024,33.7257231050284,,
Aichstetten Bahnhof,München Hbf Gleis 24,Avion,47.858891,10.014167,48.239166,11.559334,,,,airports,OurAirports,Aichstetten Bahnhof,München Hbf Gleis 24,122.39075173394413,78.51797677083692,Leutkirch-Unterzeil Airfield,Schleissheim Airfield
Aichstetten Bahnhof,München Hbf Gleis 24,Train Longue Distance,47.8877939,10.0746777,48.14086,11.5576615,08:42:00,10:05:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203,1.8073197181573073,,
Aichstetten Bahnhof,München Hbf Gleis 24,Train Longue Distance Nuit,47.8877939,10.0746777,48.14086,11.5576615,05:15:00,07:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203,1.8073197181573073,,
Aichstetten Bahnhof,Pasing Gleis 3,Avion,47.858891,10.014167,48.228675,11.422134,,,,airports,OurAirports,Aichstetten Bahnhof,Pasing Gleis 3,112.45392398155734,72.14315187937964,Leutkirch-Unterzeil Airfield,Dachau-Gröbenried Airfield
Aichstetten Bahnhof,Pasing Gleis 3,Train Longue Distance,47.8877939,10.0746777,48.1496771,11.4616496,08:42:00,09:57:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Aichstetten Bahnhof,Pasing Gleis 3,107.18823274128579,1.701720383000653,,
Aichstetten Bahnhof,Pasing Gleis 3,Train Longue Distance Nuit,47.8877939,10.0746777,48.1496771,11.4616496,05:15:00,06:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Pasing Gleis 3,107.18823274128579,1.701720383000653,,
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Avion,48.009998,10.098611,48.239166,11.559334,,,,airports,OurAirports,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,111.37322246828161,71.44984380574309,Tannheim Airfield,Schleissheim Airfield
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Train Longue Distance,47.9435397,10.0801574,48.14086,11.5576615,08:46:00,10:05:00,,mobility_db,FR_BBS_Schapfl_mdb-770,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370551,1.7782736933085888,,
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Train Longue Distance Nuit,47.9435397,10.0801574,48.14086,11.5576615,05:20:00,07:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370551,1.7782736933085888,,
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Avion,48.009998,10.098611,48.228675,11.422134,,,,airports,OurAirports,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,101.21015886337119,64.92988064884076,Tannheim Airfield,Dachau-Gröbenried Airfield
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Train Longue Distance,47.9435397,10.0801574,48.1496771,11.4616496,08:46:00,09:57:00,,mobility_db,FR_BBS_Schapfl_mdb-770,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.22087082562531,1.6704865452276274,,
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Train Longue Distance Nuit,47.9435397,10.0801574,48.1496771,11.4616496,05:20:00,06:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.22087082562531,1.6704865452276274,,
Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,Avion,47.6333,7.9412,47.671299,9.51149,,,,airports,OurAirports,Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,117.69488401512909,75.50541228176218,Hütten Glider Field,Bodensee Airport Friedrichshafen
Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,47.5922386,8.1317835,47.6515396,9.4824544,12:20:00,14:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,101.44281864633193,0.08947256604606477,,
