origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km
Aichstetten Bahnhof,Kaufering,Train Longue Distance Nuit,47.8877939,10.0746777,48.0811623,10.8551251,05:15:00,06:22:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Kaufering,61.93736369100323
Aichstetten Bahnhof,Kißlegg Bahnhof,Train Longue Distance Nuit,47.8878722,10.0747137,47.793258,9.8819621,22:51:00,23:25:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Kißlegg Bahnhof,17.82225254043418
Aichstetten Bahnhof,Leutkirch Bahnhof,Train Longue Distance Nuit,47.8878722,10.0747137,47.8261984,10.0160088,22:51:00,23:05:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Leutkirch Bahnhof,8.137180082553144
Aichstetten Bahnhof,Lindau-Insel,Train Longue Distance Nuit,47.8878722,10.0747137,47.5450478,9.6811168,23:51:00,25:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Lindau-Insel,48.16843621539206
Aichstetten Bahnhof,Lindau-Reutin,Train Longue Distance Nuit,47.8879204,10.0752526,47.5523177,9.7012121,05:16:00,06:19:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Lindau-Reutin,46.642166841175865
Aichstetten Bahnhof,Lindau-Reutin Bstg 1,Train Longue Distance Nuit,47.8878722,10.0747137,47.5527784,9.7024518,23:51:00,25:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Lindau-Reutin Bstg 1,46.517067336283915
Aichstetten Bahnhof,Memmingen,Train Longue Distance Nuit,47.8878722,10.0747137,47.9842199,10.186509,23:21:00,24:02:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Memmingen,13.569715223497669
Aichstetten Bahnhof,Mindelheim,Train Longue Distance Nuit,47.8877939,10.0746777,48.045069,10.5020333,05:15:00,05:56:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Mindelheim,36.306917695176395
Aichstetten Bahnhof,München Hbf Gleis 24,Train Longue Distance Nuit,47.8877939,10.0746777,48.14086,11.5576615,05:15:00,07:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203
Aichstetten Bahnhof,Pasing Gleis 3,Train Longue Distance Nuit,47.8877939,10.0746777,48.1496771,11.4616496,05:15:00,06:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Pasing Gleis 3,107.18823274128579
Aichstetten Bahnhof,Rammingen (Bay),Train Longue Distance Nuit,47.8877939,10.0746777,48.0524134,10.5899424,05:50:00,06:34:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Rammingen (Bay),42.50343089587243
Aichstetten Bahnhof,Sontheim (Schwab),Train Longue Distance Nuit,47.8877939,10.0746777,48.0120814,10.3457174,05:15:00,05:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Sontheim (Schwab),24.463623766935747
Aichstetten Bahnhof,Stetten (Schwab),Train Longue Distance Nuit,47.8877939,10.0746777,48.0280582,10.437642,05:15:00,05:51:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Stetten (Schwab),31.205214784742047
Aichstetten Bahnhof,Tannheim (Württ),Train Longue Distance Nuit,47.8877939,10.0746777,47.9948974,10.0967763,05:15:00,05:24:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Tannheim (Württ),12.022587361563769
Aichstetten Bahnhof,Tannheim Rehgarten,Train Longue Distance Nuit,47.8878722,10.0747137,48.0006802,10.0882153,23:21:00,23:42:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Tannheim Rehgarten,12.583925606482907
Aichstetten Bahnhof,Türkheim(Bay)Bahnhof,Train Longue Distance Nuit,47.8877939,10.0746777,48.0455134,10.6177722,05:15:00,06:04:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Türkheim(Bay)Bahnhof,44.07383598141499
Aichstetten Bahnhof,Wangen Bahnhof,Train Longue Distance Nuit,47.8879204,10.0752526,47.6891415,9.8304438,05:16:00,05:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,Wangen Bahnhof,28.688803714022914
Aichstetten Bahnhof,"Wangen, Busbahnhof",Train Longue Distance Nuit,47.8878722,10.0747137,47.6890508,9.8310456,22:51:00,23:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aichstetten Bahnhof,"Wangen, Busbahnhof",28.638214644280655
"Aitrach (Kr Ravensb), Bahnhof",Aichstetten Bahnhof,Train Longue Distance Nuit,47.9434916,10.0802113,47.8878722,10.0747137,22:39:00,22:51:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Aichstetten Bahnhof,6.198151316623276
"Aitrach (Kr Ravensb), Bahnhof",Buchloe,Train Longue Distance Nuit,47.9435397,10.0801574,48.0335849,10.7162725,05:20:00,06:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Buchloe,48.387064347613276
"Aitrach (Kr Ravensb), Bahnhof",Geltendorf,Train Longue Distance Nuit,47.9435397,10.0801574,48.1060203,11.0380221,05:20:00,06:30:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Geltendorf,73.48953837199834
"Aitrach (Kr Ravensb), Bahnhof",Hergatz,Train Longue Distance Nuit,47.9434916,10.0802113,47.6465349,9.8275961,23:39:00,24:57:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Hergatz,38.03160800552205
"Aitrach (Kr Ravensb), Bahnhof",Kaufering,Train Longue Distance Nuit,47.9435397,10.0801574,48.0811623,10.8551251,05:20:00,06:22:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Kaufering,59.64312172072592
"Aitrach (Kr Ravensb), Bahnhof",Kißlegg Bahnhof,Train Longue Distance Nuit,47.9434916,10.0802113,47.793258,9.8819621,22:39:00,23:25:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Kißlegg Bahnhof,22.31035223071774
"Aitrach (Kr Ravensb), Bahnhof",Leutkirch Bahnhof,Train Longue Distance Nuit,47.9434916,10.0802113,47.8261984,10.0160088,22:39:00,23:05:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Leutkirch Bahnhof,13.893351911220304
"Aitrach (Kr Ravensb), Bahnhof",Lindau-Insel,Train Longue Distance Nuit,47.9434916,10.0802113,47.5450478,9.6811168,23:39:00,25:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Lindau-Insel,53.41721866683063
"Aitrach (Kr Ravensb), Bahnhof",Lindau-Reutin,Train Longue Distance Nuit,47.9435397,10.0801574,47.5523177,9.7012121,05:06:00,06:19:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Lindau-Reutin,51.91464621065957
"Aitrach (Kr Ravensb), Bahnhof",Lindau-Reutin Bstg 1,Train Longue Distance Nuit,47.9434916,10.0802113,47.5527784,9.7024518,23:39:00,25:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Lindau-Reutin Bstg 1,51.81881144893274
