route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url,ticketing_deep_link_id
mvv-1-001E-1,1,S1,Neufahrn - Flughafen/Airport Schienenersatzverkehr S1,3,005262,FFFFFF,,MVV_ticketing
mvv-1-002E-1,1,S2,Schienenersatzverkehr S2 Markt Schwaben - Erding,3,005262,FFFFFF,,MVV_ticketing
mvv-1-003E-1,1,S3,Schienenersatzverkehr S3 Diesenhofen - Holzkirchen,3,005262,FFFFFF,,MVV_ticketing
mvv-1-004E-1,1,S4,Schienenersatzverkehr S4 Buchenau - Pasing,3,005262,FFFFFF,,MVV_ticketing
mvv-1-004E-2,1,S4,Schienenersatzverkehr S4 Pasing - Puchheim/Buchenau,3,005262,FFFFFF,,MVV_ticketing
mvv-1-004E-3,1,S4,Schienenersatzverkehr S4 Pasing - Fürstenfeldbruck,3,005262,FFFFFF,,MVV_ticketing
mvv-1-006E-1,1,S6,Schienenersatzverkehr S6 Tutzing - Gauting,3,005262,FFFFFF,,MVV_ticketing
mvv-1-007E-1,1,S7,Schienenersatzverkehr S7 Wolfratshausen - Höllriegelskreuth,3,005262,FFFFFF,,MVV_ticketing
mvv-1-008E-1,1,S8,Schienenersatzverkehr S8 Ostbahnhof - Johanneskirchen,3,005262,FFFFFF,,MVV_ticketing
mvv-1-999E-1,1,S,Schienenersatzverkehr Stammstrecke Donnersbergerbrücke - Pasing,3,005262,FFFFFF,,MVV_ticketing
mvv-12-276-1,1,276,Bad Aibling - Götting - Bruckmühl - Feldkirchen - Aying,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12276___H_s25_1.pdf,MVV_ticketing
mvv-12-277-1,1,277,Bad Aibling - Heufeld - Bruckmühl - Feldkirchen - Aying,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12277___H_s25_1.pdf,MVV_ticketing
mvv-12-278-1,1,278,(Beyharting -) Großhöhenrain - Ginsham - Bruckmühl,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12278___H_s25_1.pdf,MVV_ticketing
mvv-12-316-1,1,316,Oberammergau - Ettal - Graswang - Schloss Linderhof,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12316___H_s25_1.pdf,MVV_ticketing
mvv-12-318-1,1,318,Grafenaschau - Grafenaschau Bf - Seeleiten-Berggeist - Murnau,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12318___H_s25_1.pdf,MVV_ticketing
mvv-12-321-1,1,321,OrtsBus Garmisch-Partenkirchen Klinikum - Bahnhof - Marienplatz - Äußere Maximiliansstraße,3,005262,FFFFFF,https://efa.mvv-muenchen.de/ttb2/mvv_12321___H_s25_1.pdf,MVV_ticketing
