origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,0.08947256604606477,75.50541228176218,75.4159397157161,1,101.44281864633193,47.5922386,8.1317835,47.6515396,9.4824544,Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,,,,58403.0
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,0.08889809194699681,75.50541228176218,75.41651418981517,1,100.79148746825035,47.5922386,8.1317835,47.6533671,9.473588,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,,,,58403.0
Albi Ville,Paris Austerlitz,InterCity,4.342637857744452,146.2707909295497,141.92815307180524,1,547.0695210058518,43.92445,2.13817,48.84185,2.36646,Albi Ville,Paris Austerlitz,575993.0,51290.0,23798578.0,2103778.0
Allmendingen,Donaueschingen Bahnhof,Train Longue Distance Nuit,1.5896255042433427,,,0,100.12758278176761,48.3277261,9.7223495,47.947842,8.4989429,Allmendingen,Donaueschingen Bahnhof,14285.0,,,21604.0
Altona,Augsburg Hbf,EuroNight,33.281683925916234,140.9229155649756,107.64123163905936,1,580.5282387217205,53.5519791,9.9343519,48.3655187,10.8854791,Altona,Augsburg Hbf,,250192.0,,259196.0
Altona,Kufstein Bahnhof,EuroNight,39.10308662943855,182.2384626663083,143.13537603686973,0,682.0702359922998,53.5519791,9.9343519,47.5830959,12.1655874,Altona,Kufstein Bahnhof,,250192.0,,
Altona,München Hbf Gleis 10,EuroNight,35.10726991992699,147.75416957567128,112.64689965574429,0,612.3717062607185,53.5519791,9.9343519,48.1401586,11.5538976,Altona,München Hbf Gleis 10,,250192.0,,
Altona,München Hbf Gleis 12,EuroNight,35.11133908393365,147.75416957567128,112.64283049173764,0,612.4426841781553,53.5519791,9.9343519,48.1399368,11.5574908,Altona,München Hbf Gleis 12,,250192.0,,
Altona,München Hbf Gleis 14,EuroNight,35.110456096525205,147.75416957567128,112.64371347914607,0,612.427282339529,53.5519791,9.9343519,48.1400807,11.5575178,Altona,München Hbf Gleis 14,,250192.0,,
Altona,Ostbahnhof Gleis 6,EuroNight,35.22603971051883,147.75416957567128,112.52812986515245,0,614.4433928225856,53.5519791,9.9343519,48.1274186,11.6053531,Altona,Ostbahnhof Gleis 6,,250192.0,,
