origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Douai,Gare de Morgny,EuroNight,Gare de Douai,Gare de Morgny,50.3716757,3.0899613,49.5228742,1.2473588,162.13668262171336,3.146100189591726,07:26:00,09:38:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Douai,Gare de Poix-de-Picardie,EuroNight,Gare de Douai,Gare de Poix-de-Picardie,50.3716757,3.0899613,49.7777843,1.9898979,102.58422735120213,1.9905443475227262,07:26:00,08:53:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Douai,Gare de Rouen Rive Droite,Avion,Gare de Douai,Gare de Rouen Rive Droite,50.337883,2.990714,49.384887,1.179142,167.59665206244057,107.51915358862121,,,airports,OurAirports
Gare de Douai,Gare de Rouen Rive Droite,EuroNight,Gare de Douai,Gare de Rouen Rive Droite,50.3716757,3.0899613,49.4486637,1.0941026,175.94414318388172,3.4140201543400406,07:26:00,09:53:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Douai,Gare de Serqueux,Avion,Gare de Douai,Gare de Serqueux,50.337883,2.990714,49.693374,1.81118,110.62784070864234,70.9716551610979,,,airports,OurAirports
Gare de Douai,Gare de Serqueux,EuroNight,Gare de Douai,Gare de Serqueux,50.3716757,3.0899613,49.6315502,1.5394027,138.033244990752,2.678397085800552,07:26:00,09:19:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Argentan,EuroNight,Gare de Dreux,Gare de Argentan,48.731493,1.3701634,48.7385458,-0.0252909,102.34107538345451,0.8123834563938618,09:42:00,10:46:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Briouze,Avion,Gare de Dreux,Gare de Briouze,48.70543,1.361155,48.749964,-0.593927,143.4837568519848,92.04988226550782,,,airports,OurAirports
Gare de Dreux,Gare de Briouze,EuroNight,Gare de Dreux,Gare de Briouze,48.731493,1.3701634,48.7018635,-0.3682037,127.57424357000814,1.0126843454587244,09:42:00,11:02:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Flers,Avion,Gare de Dreux,Gare de Flers,48.70543,1.361155,48.749964,-0.593927,143.4837568519848,92.04988226550782,,,airports,OurAirports
