id,ident,category,airport_name,aero_lat,aero_long,elevation_ft,continent,country_code,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
601266,SS7G,small_airport,Fazenda Amazônia Airport,-4.250887,-46.588374,545.0,SA,BR,BR-MA,Bom Jardim,no,,,SS7G,MA0206,,,
601268,SS7H,small_airport,Fazenda Umuarama Airstrip,-11.706389,-44.602181,1467.0,SA,BR,BR-BA,Cotegipe,no,,,SS7H,BA0496,,,
601951,SS7I,heliport,Inquima Heliport,-23.295507,-51.316059,2335.0,SA,BR,BR-PR,Cambé,no,,,SS7I,PR0258,,,
601270,SS7J,small_airport,APAAM Sports Airport,-12.990251,-55.957558,1296.0,SA,BR,BR-MT,Lucas do Rio Verde,no,,,SS7J,MT1118,,,
601274,SS7K,small_airport,Santo Antônio Airport,-15.962045,-57.195582,558.0,SA,BR,BR-MT,Cáceres,no,,,SS7K,MT1113,,,
601276,SS7L,small_airport,Fazenda Formigueiro Airport,-28.718544,-55.267326,466.0,SA,BR,BR-RS,Itacurubi,no,,,SS7L,RS0222,,,
601278,SS7M,heliport,Vinícola Terra de Carvalho Heliport,-22.260708,-46.694097,2762.0,SA,BR,BR-MG,Jacutinga,no,,,SS7M,MG0638,,,
601280,SS7N,small_airport,Fazenda Aliança Airport,-8.244556,-44.986467,1739.0,SA,BR,BR-PI,Baixa Grande do Ribeiro,no,,,SS7N,PI0119,,,
601253,SS7O,small_airport,Fazenda Paulista Airport,-21.582802,-51.709149,966.0,SA,BR,BR-SP,Ouro Verde,no,,,SS7O,SP1493,,,
601282,SS7P,small_airport,PRG 1 Airstrip,-10.398507,-46.037832,2585.0,SA,BR,BR-TO,Mateiros,no,,,SS7P,TO0156,,,
601715,SS7Q,small_airport,Fazenda Guara-Garganta Airport,-11.181777,-46.438773,2766.0,SA,BR,BR-BA,Formosa do Rio Preto,no,,,SS7Q,BA0495,,,
601718,SS7R,heliport,Fazenda João e Maria Heliport,-27.432371,-49.550565,1995.0,SA,BR,BR-SC,Ituporanga,no,,,SS7R,SC0250,,,
