id,ident,category,airport_name,aero_lat,aero_long,elevation_ft,continent,country_code,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
315671,LT-0004,small_airport,Kupiškio aerodromas,55.8529062,24.957929,,EU,LT,LT-PN,Kupiškis,no,,,,,,,
315676,LT-0005,small_airport,Pečiulių aerodromas,55.4936031,25.1949249,,EU,LT,LT-UT,Pečiuliai,no,,,,,,,
315684,LT-0006,small_airport,Tauragės Aerodromas,55.23201,22.150068,,EU,LT,LT-TA,Tauragė,no,,,EYTR,,,https://lt.wikipedia.org/wiki/Taurag%C4%97s_aerodromas,
320589,LT-0007,small_airport,Ličiūnai Airstrip,56.061212,24.544761,,EU,LT,LT-PN,Ličiūnai,no,,,,,,,
320730,LT-0008,small_airport,Vilkaviškis Airfield,54.688091,23.001315,,EU,LT,LT-MR,,no,,,,,,,
321000,LT-0009,small_airport,Naukaimio aerodromas,55.131368,22.964454,,EU,LT,LT-TA,Naukaimis,no,,,,,,,"Šilinės, Skirsnemunės"
321001,LT-0010,small_airport,Griškabūdis Airstrip,54.830228,23.197771,,EU,LT,LT-MR,Bliuviškiai,no,,,,,,,
321034,LT-0011,small_airport,Slikiai Airstrip,55.208166,24.068935,,EU,LT,LT-KU,,no,,,,,,,
321037,LT-0012,small_airport,Vaski Airstrip,56.836457,23.020737,,EU,LV,LV-099,Vaski,no,,,,,,,
321062,LT-0013,closed,Mediniai Airstrip,56.2395,24.600564,145.0,EU,LT,LT-PN,Mediniai,no,,,,,,,
321665,LT-0014,small_airport,Kalno aerodromas,55.984197,24.34608,,EU,LT,LT-PN,Kalnas,no,,,,,,,
321736,LT-0015,small_airport,Keturvalakiai Airstrip,54.570783,23.156836,,EU,LT,LT-MR,,no,,,,,,,
330632,LT-0016,small_airport,Kirkliai Airstrip,55.9251137,22.5959212,,EU,LT,LT-TE,,no,,,,,,,
331023,LT-0017,small_airport,Gėluvos Airstrip,55.254035,23.5148404,,EU,LT,LT-KU,,no,,,,,,,
331211,LT-0018,small_airport,Valkininkai Airstrip,54.3756647,24.8454637,,EU,LT,LT-AL,,no,,,,,,,
332952,LT-0019,small_airport,Žeimelis Airstrip,56.267717,24.01368,,EU,LT,LT-SA,,no,,,,,,,
342530,LT-0020,small_airport,Klebonai Airstrip,55.50751,24.41479,,EU,LT,LT-PN,,no,,,,,,,
346225,LT-0021,small_airport,Upitėnai Airstrip,55.60306,21.62339,,EU,LT,LT-KL,,no,,,,,,,
346367,LT-0022,small_airport,Aukštelkai Airfield,55.863079,23.62833,,EU,LT,LT-SA,,no,,,,,,,
346434,LT-0023,small_airport,Paberžės Aerodromas,54.98973,25.27568,,EU,LT,LT-UT,,no,,,,,,,
346436,LT-0024,small_airport,Pociūnai Airstrip,55.59152,23.96661,,EU,LT,LT-SA,,no,,,,,,,
346841,LT-0025,small_airport,Bistrampolis Airfield,55.59597,24.36418,,EU,LT,LT-PN,,no,,,,,,,
347931,LT-0026,small_airport,Dainava Airstrip,54.32387,25.24008,,EU,LT,LT-VL,,no,,,,,,,
348253,LT-0027,small_airport,Ėriškiai Airstrip,55.57675,24.26939,,EU,LT,LT-PN,,no,,,,,,,
348585,LT-0028,small_airport,Balbieriškis airstrip,54.53103,23.84071,,EU,LT,LT-KU,,no,,,,,,,
348868,LT-0029,small_airport,Dievogala Airstrip,54.85452,23.74284,,EU,LT,LT-KU,,no,,,,,,,
430368,LT-0030,small_airport,Norkaičiai Airstrip,55.29042,22.26759,,EU,LT,LT-TA,,no,,,,,,,
509977,LT-0031,small_airport,Krokialaukis,54.426259,23.774189,269.0,EU,LT,LT-AL,Krokialaukis,no,,,,,,,
509984,LT-0032,small_airport,Daugodai,55.421154,23.215259,357.0,EU,LT,LT-KU,Raseiniai,no,,,,,,,
509995,LT-0033,small_airport,Vainiai,54.596634,24.861428,512.0,EU,LT,LT-VL,Trakai,no,,,,,,,private
509999,LT-0034,closed,Skirmantiškė airstrip,55.435248,23.360775,341.0,EU,LT,LT-KU,Raseiniai,no,,,,,,,
510001,LT-0035,small_airport,Skaudvilė airstrip,55.395323,22.591957,278.0,EU,LT,LT-TA,Tauragė,no,,,,,,,
