trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:10:00,17:10:00,de:08128:13304:1:1,22,,0,0,87876.09
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:14:00,17:14:00,de:08128:13549:1:1,23,,0,0,92628.0
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:17:00,17:17:00,de:08128:13533:1:1,24,,0,0,95501.86
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:24:00,17:26:00,de:08128:13412:3:3,25,,0,0,100244.8
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:29:00,17:29:00,de:08128:13591:1:1,26,,0,0,103332.4
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:31:00,17:31:00,de:09677:75209:1:1,27,,0,0,104897.59
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:36:00,17:36:00,de:09676:1905:1:1,28,,0,0,110215.23
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:39:00,17:39:00,de:09676:1294:1:2,29,,0,0,112626.18
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:42:00,17:42:00,de:09676:99306:1:1,30,,0,0,115137.48
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:46:00,17:46:00,de:09676:99310:1:1,31,,0,0,119457.46
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:50:00,17:50:00,de:09676:1914:1:1,32,,0,0,123695.75
ddb-90-T87-1-1-90-R-14-Special#8796-134-133,17:58:00,17:58:00,de:09676:1254:3:2,33,,0,0,131409.81
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:33:00,15:33:00,de:08127:21001:3:3,1,,0,0,0.0
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:37:00,15:38:00,de:08127:25615:1:1,2,,0,0,5152.94
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:41:00,15:42:00,de:08127:27531:1:1,3,,0,0,9172.56
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:46:00,15:46:00,de:08127:20492:3:2,4,,0,0,14544.62
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:52:00,15:53:00,de:08127:20581:1:1,5,,0,0,22328.59
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,15:59:00,16:01:00,de:08127:20536:1:1,6,,0,0,29116.9
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:09:00,16:10:00,de:08128:12910:3:2,7,,0,0,38620.41
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:15:00,16:15:00,de:08128:13250:1:1,8,,0,0,44700.83
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:18:00,16:19:00,de:08128:13209:3:2,9,,0,0,47931.04
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:29:00,16:32:00,de:08128:12005:1:1,13,,0,0,59003.06
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:38:00,16:38:00,de:08128:13927:2:2,15,,0,0,66465.88
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:42:00,16:52:00,de:08128:13805:3:4,16,,0,0,68848.92
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,16:58:00,17:00:00,de:08128:13015:1:1,19,,0,0,76473.19
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:04:00,17:04:00,de:08128:13001:1:1,20,,0,0,81334.69
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:08:00,17:08:00,de:08128:13309:1:1,21,,0,0,86293.67
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:10:00,17:10:00,de:08128:13304:1:1,22,,0,0,87875.99
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:14:00,17:14:00,de:08128:13549:1:1,23,,0,0,92627.89
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:17:00,17:17:00,de:08128:13533:1:1,24,,0,0,95501.75
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:24:00,17:26:00,de:08128:13412:3:3,25,,0,0,100244.7
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:29:00,17:29:00,de:08128:13591:1:1,26,,0,0,103332.29
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:31:00,17:31:00,de:09677:75209:1:1,27,,0,0,104897.49
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:36:00,17:36:00,de:09676:1905:1:1,28,,0,0,110215.12
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:39:00,17:39:00,de:09676:1294:1:2,29,,0,0,112626.08
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:42:00,17:42:00,de:09676:99306:1:1,30,,0,0,115137.37
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:46:00,17:46:00,de:09676:99310:1:1,31,,0,0,119457.36
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:50:00,17:50:00,de:09676:1914:1:1,32,,0,0,123695.65
ddb-90-T87-1-1-91-R-15-Special#2548-138-134,17:58:00,17:58:00,de:09676:1254:3:2,33,,0,0,131409.7
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:33:00,15:33:00,de:08127:21001:3:3,1,,0,0,0.0
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:37:00,15:38:00,de:08127:25615:1:1,2,,0,0,5152.94
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:41:00,15:42:00,de:08127:27531:1:1,3,,0,0,9172.56
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:46:00,15:46:00,de:08127:20492:3:2,4,,0,0,14544.62
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:52:00,15:53:00,de:08127:20581:1:1,5,,0,0,22328.59
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,15:59:00,16:01:00,de:08127:20536:1:1,6,,0,0,29116.9
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:09:00,16:10:00,de:08128:12910:3:2,7,,0,0,38620.41
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:15:00,16:15:00,de:08128:13250:1:1,8,,0,0,44700.83
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:18:00,16:19:00,de:08128:13209:3:2,9,,0,0,47931.04
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:29:00,16:32:00,de:08128:12005:3:3,13,,0,0,59002.79
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:38:00,16:38:00,de:08128:13927:2:2,15,,0,0,66465.99
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:42:00,16:52:00,de:08128:13805:3:4,16,,0,0,68849.03
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,16:58:00,17:00:00,de:08128:13015:1:1,19,,0,0,76473.29
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:04:00,17:04:00,de:08128:13001:1:1,20,,0,0,81334.8
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:08:00,17:08:00,de:08128:13309:1:1,21,,0,0,86293.77
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:10:00,17:10:00,de:08128:13304:1:1,22,,0,0,87876.09
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:14:00,17:14:00,de:08128:13549:1:1,23,,0,0,92628.0
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:17:00,17:17:00,de:08128:13533:1:1,24,,0,0,95501.86
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:24:00,17:26:00,de:08128:13412:3:3,25,,0,0,100244.8
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:29:00,17:29:00,de:08128:13591:1:1,26,,0,0,103332.4
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:31:00,17:31:00,de:09677:75209:1:1,27,,0,0,104897.59
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:36:00,17:36:00,de:09676:1905:1:1,28,,0,0,110215.23
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:39:00,17:39:00,de:09676:1294:1:2,29,,0,0,112626.18
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:42:00,17:42:00,de:09676:99306:1:1,30,,0,0,115137.48
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:46:00,17:46:00,de:09676:99310:1:1,31,,0,0,119457.46
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:50:00,17:50:00,de:09676:1914:1:1,32,,0,0,123695.75
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,17:58:00,18:00:00,de:09676:1254:3:2,33,,0,0,131409.81
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,18:08:00,18:08:00,de:09676:1180:1:1,36,,0,0,142581.38
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,18:11:00,18:12:00,de:09676:50519:1:1,38,,0,0,146030.53
ddb-90-T87-1-1-98-R-21-Special#6313-139-135,18:16:00,18:17:00,de:09676:99309:2:3,40,,0,0,150060.22
