stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,tts_stop_name,import_id,ext_id,city_name,direction_id,area_name,ext_aleop_abri,ext_aleop_poteau,ext_bench,ext_bikepark,ext_carcharging,ext_carpark,ext_carpooling,ext_conventionnement,ext_diag_date,ext_gare_conventionnee,ext_gestionnaire,ext_id_py7,ext_id_tad,ext_non_aleop_abri,ext_non_aleop_poteau,ext_photo_url_1,ext_photo_url_2,ext_photo_url_3,ext_photo_url_4,ext_priority,ext_pwd_nooverhang,ext_pwd_pathway,ext_pwd_readability,ext_pwd_slopes,ext_pwd_sound,ext_pwd_tactilpaving,ext_pwd_visualway,ext_pwd_wheelchair_z,ext_quay_height,ext_quay_length,ext_region_insee,ext_region_name,ext_schedule,ext_sec_A13A,ext_sec_C6,ext_sec_bikepark,ext_sec_config,ext_sec_intown,ext_sec_light,ext_sec_pedxing,ext_sec_zebra,ext_sec_zebra_damaged,ext_secure_iti,ext_stop_schedule,ext_trashbin,ext_type_tad,ext_zone_tad,old_id,pegase_code
53COUVegliU,,Eglise,,47.90822200,-1.14134100,ZONE_N/A,,0,53COUVegli,1,,,,,Fontaine-Couverte,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_18_8_CRAON,TAD53-215,
53CRENcentU,,Eglise,,48.37810700,-0.27913100,ZONE_N/A,,0,53CRENcent,1,,,,,Crennes-sur-Fraubée,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_3_AVALOIRS,TAD53-161,
53CROPbourU,,Eglise,,47.95830000,-0.49359700,ZONE_N/A,,0,53CROPbour,1,,,,,La Cropte,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_18_5_MESLAY_GREZ,TAD53-287,
53DAONbourU,,Eglise,,47.74940000,-0.63891000,ZONE_N/A,,0,53DAONbour,1,,,,,Daon,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_6_GONTIER,TAD53-167,
53DESEegliU,,Eglise,,48.46870000,-0.86787900,ZONE_N/A,,0,53DESEegli,1,,,,,Désertines,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,TAD53-169,
53DEUXjublU,,Eglise,,48.19100000,-0.52730300,ZONE_N/A,,0,53DEUXjubl,1,,,,,Montsûrs,,Deux-Evailles,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-170,
53DOREbourU,,Eglise,,48.44841000,-0.96911706,ZONE_N/A,,0,53DOREbour,1,,,,,La Dorée,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_1_BOC_MAY_ERN,TAD53-288,
53ELLIegliU,,Eglise,,48.40040000,-1.04768000,ZONE_N/A,,0,53ELLIegli,1,,,,,Saint-Ellier-du-Maine,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,TAD53-483,
53EPINcentU,,Eglise,,47.94271400,-0.36242800,ZONE_N/A,,0,53EPINcent,1,,,,,Val-du-Maine,,Epineux-le-Seguin,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_5_MESLAY_GREZ,TAD53-171,
53FONDcentU,,Eglise,,47.90059600,-0.64189600,ZONE_N/A,,0,53FONDcent,1,,,,,Ruillé-Froid-Fonds,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_5_MESLAY_GREZ,TAD53-445,
