origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
Augsburg Messe Bstg 2,Oberstaufen,108.28113205479232,65.81889401274097,1,0,0
Augsburg Messe Bstg 2,Röthenbach (Allgäu),105.81057932391391,65.85811650789638,1,0,0
Augsburg Morellstraße,Heimenkirch,109.34075075514788,65.80207150625412,1,0,0
Augsburg Morellstraße,Hergatz,111.77178603672776,79.99693927157851,1,0,0
Augsburg Morellstraße,Immenstadt,101.92342631681974,67.98910849244025,1,0,0
Augsburg Morellstraße,Lindau-Insel,127.53267463704034,79.74671940415995,1,0,0
Augsburg Morellstraße,Lindau-Reutin,125.87205149403334,79.77308345717833,1,0,0
Augsburg Morellstraße,Oberstaufen,110.03753381087851,65.79100937846134,1,0,0
Augsburg Morellstraße,Röthenbach (Allgäu),107.50701995076057,65.83118381650458,1,0,0
Aulendorf Bahnhof,Bad Säckingen Bahnhof,134.1886378377548,87.18647768725042,1,0,0
Aulendorf Bahnhof,Badischer Bahnhof,158.0723811977853,104.83836198543818,1,0,0
Aulendorf Bahnhof,Lauchringen Bahnhof,105.08563853565626,64.51218937029441,1,0,0
Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,145.81659379885284,95.14820750344886,1,0,0
Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,108.3641604209313,64.46013955684379,1,0,0
Aulendorf Bahnhof,Waldshut Bahnhof,112.62528526698723,64.39248993878779,1,0,0
Aurillac,Paris Austerlitz,435.98858180664377,125.60759035320496,1,0,0
Bad Schussenried,Bad Säckingen Bahnhof,137.40171681101629,87.13546684547092,1,0,0
Bad Schussenried,Badischer Bahnhof,161.041837679897,104.79121889432818,1,0,0
Bad Schussenried,Rheinfelden (Baden) Bahnhof,148.91691417246983,95.09898681719731,1,0,0
Bad Schussenried,Tiengen (Hochrhein) Bahnhof,111.58405707204211,64.40902047761074,1,0,0
Bad Schussenried,Waldshut Bahnhof,115.84737542074684,64.34133603550671,1,0,0
Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,106.3779034002627,70.63782781258567,1,0,0
Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,115.47786749335746,75.909260829439,1,0,0
Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,114.8330132311778,75.90982959089824,1,0,0
Bad Säckingen Bahnhof,Markdorf Bahnhof,109.34646291011283,70.63520954309799,1,0,0
Bad Säckingen Bahnhof,"Salem, Bahnhof",103.44084341055547,68.81018504554264,1,0,0
Badischer Bahnhof,Bahnhof Überlingen,118.55481153186876,77.88123612374994,1,0,0
Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,131.33593947129498,90.05438918234458,1,0,0
Badischer Bahnhof,Friedrichshafen Hafenbahnhof,140.80578682797096,95.6800826977891,1,0,0
Badischer Bahnhof,Friedrichshafen Stadtbahnhof,140.1538494064175,95.68065770659491,1,0,0
Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,111.60004778222016,71.3750638678038,1,0,0
Badischer Bahnhof,Markdorf Bahnhof,134.39347265618358,90.0516924380755,1,0,0
Badischer Bahnhof,Radolfzell Bahnhof,103.63291535438728,71.38209087860515,1,0,0
Badischer Bahnhof,"Salem, Bahnhof",128.21517661356825,86.91308015580152,1,0,0
Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,124.29768754706564,77.87617090710455,1,0,0
Bahnhof Überlingen,Badischer Bahnhof,118.55481153186876,77.88123612374994,1,0,0
Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,105.90449980612748,67.34090974193448,1,0,0
Bar,Zemun,324.00076837130325,101.00495300216332,1,0,0
Bergen,Oslo S,304.664381805284,103.50513775882528,1,0,0
Berlin Hbf,Budapest Nyugati,689.4958375078542,137.1710519210908,0,1,0
Berlin Hbf,Graz Hbf,623.7997096354479,114.95146501055868,0,1,0
Berlin Hbf,Paris Gare du Nord,873.8472072374328,185.46631638790296,0,1,-1
Berlin Hbf,Stockholm C,810.5934008503954,178.05566890601418,0,1,1
Berlin Hbf,Stockholm C,810.5934008503954,178.05566890601418,0,1,1
Berlin Hbf,Zürich HB,668.1718928717406,135.59241936946825,0,1,0
Berlin Ostbahnhof,Paris Est,877.2913019011203,185.2688664408338,0,1,1
Beuggen Bahnhof,Bahnhof Überlingen,103.34069068019238,67.34317102158356,1,0,0
Beuggen Bahnhof,Bermatingen-Ahausen Bahnhof,116.06021655749642,79.55262000643373,1,0,0
Beuggen Bahnhof,Friedrichshafen Stadtbahnhof,124.86675182147684,85.04226150122442,1,0,0
Beuggen Bahnhof,Markdorf Bahnhof,119.10857217464434,79.5499313567794,1,0,0
Beuggen Bahnhof,"Salem, Bahnhof",112.96642633726766,76.9543488078865,1,0,0
Beuggen Bahnhof,Uhldingen-Mühlhofen Bahnhof,109.03365099008492,67.33814983059024,1,0,0
Biberach (Riß),Bad Säckingen Bahnhof,150.4562075366277,94.59058891419934,1,0,0
Biberach (Riß),Badischer Bahnhof,173.5461380227689,110.63203633418782,1,0,0
Biberach (Riß),Erzingen (Baden) Bahnhof,112.84597270039654,71.86554165161704,1,0,0
Biberach (Riß),Lauchringen Bahnhof,121.64964230646076,71.72577459295115,1,0,0
Biberach (Riß),Rheinfelden (Baden) Bahnhof,161.71879064058683,101.6727597739196,1,0,0
Biberach (Riß),Tiengen (Hochrhein) Bahnhof,124.71989843888689,71.67703120659276,1,0,0
Biberach (Riß),Waldshut Bahnhof,128.9744224828118,71.60948638287141,1,0,0
Biberach Süd,Bad Säckingen Bahnhof,150.51775081417196,94.58961185312504,1,0,0
Biberach Süd,Badischer Bahnhof,173.73075011803837,110.62910543256332,1,0,0
Biberach Süd,Erzingen (Baden) Bahnhof,112.84144032805315,71.86561360756036,1,0,0
Biberach Süd,Rheinfelden (Baden) Bahnhof,161.83859727396987,101.670857723808,1,0,0
Biberach Süd,Tiengen (Hochrhein) Bahnhof,124.7551768822576,71.67647112602582,1,0,0
Biberach Süd,Waldshut Bahnhof,129.01320728621693,71.60887063533255,1,0,0
Bielsko-Biała Gł.,Świnoujście,559.173648330782,99.8514899061957,1,1,0
Bielsko-Biała Główna,Kołobrzeg,540.2059303082054,95.31904607714704,1,1,0
Bistrița Nord,București Nord,323.07934733505,85.46581862243495,1,0,0
Blaubeuren,Donaueschingen Bahnhof,108.45611309388237,66.80473026542694,1,0,0
Blaubeuren,Geisingen Bahnhof,100.10180726261356,70.10522019560739,1,0,0
Blaustein Gleis 1,Donaueschingen Bahnhof,117.38936892916776,69.4945969474094,1,0,0
Blaustein Gleis 1,Geisingen Bahnhof,108.7767856272184,71.84511012762763,1,0,0
Bobingen,Hergatz,102.069313949782,66.2675248162342,1,0,0
Bobingen,Lindau-Insel,117.81395909938952,66.01756282983904,1,0,0
Bobingen,Lindau-Reutin,116.13483724919116,66.04422056833279,1,0,0
Bodø,Trondheim,466.18318685514294,98.9560119379782,1,0,-1
Bohumín,Hel,524.6208669884766,111.97904512255244,1,1,0
Bohumín,Łeba,542.7448652242813,102.32868930813414,1,1,0
Bolzano / Bozen,Roma Termini,519.0967485415856,131.10731855576813,1,1,0
Bratislava Nové Mesto,Split,521.7998892278248,129.18660655076874,1,1,0
Bratislava hl.st.,Humenné,363.1634335745456,106.13111299925076,1,0,0
Brașov,Budapest Keleti,538.0143949699024,119.20330284061794,1,1,0
Bregenz,Wien Hbf (Autoreisezuganlage),500.954653388415,139.6069582132322,1,1,0
Briançon,Paris Austerlitz,546.0006851829762,125.96657857484917,1,1,0
Buchloe,Nürnberg Hbf,159.27921038847057,105.44927865479256,1,0,0
Buchloe,Treuchtlingen,104.09051479160762,69.40315488224755,1,0,0
București Nord,Arad,418.867119159711,106.2043036436334,1,1,0
București Nord,Bistrița Nord,323.07934733505,85.46581862243495,1,0,0
București Nord,Budapest Keleti,637.6817691986246,138.13616184491116,0,1,0
București Nord,Chişinău,357.95964565572797,92.9367087286752,1,0,0
București Nord,Cluj-Napoca,323.9890934914132,84.47030165309607,1,0,0
București Nord,Iași,323.841447701412,85.25127204230607,1,0,0
București Nord,Oradea,433.6380428042795,108.00368338585936,1,1,0
București Nord,Satu Mare,445.75838388999847,108.55844179198168,1,1,0
București Nord,Sighetu Marmației,422.9160407266909,102.98706208470236,1,1,0
București Nord,Vatra Dornei Băi,327.293847266987,87.36205197772756,1,0,0
București Nord,Wien Hbf,852.0070230476704,183.4206273989666,0,1,1
București Nord,İstanbul Halkalı,439.9977264500113,74.57186281614227,1,0,0
Budapest Déli,Koper,459.3843013946976,80.83405487600197,1,0,0
Budapest Déli,Rijeka,426.7727575939667,107.10057467367002,1,1,0
Budapest Keleti,Brașov,538.0143949699024,123.94858980425246,1,1,0
Budapest Keleti,București Nord,637.6817691986246,143.760515049243,0,1,0
Budapest Keleti,Split,489.599545109085,83.12798554279577,1,1,0
Budapest Keleti,Stuttgart Hbf,747.9209404467774,153.3600752454834,0,1,0
Budapest Keleti,Zürich HB,792.5146364909679,177.84856702631714,0,1,1
Budapest Nyugati,Berlin Hbf,689.4958375078542,147.50935250868355,0,1,0
Budapest Nyugati,Warszawa Centralna,542.7084276088339,122.56255862275356,1,1,0
Budapest-Keleti,București Nord,637.6911655423157,143.7601172456365,0,1,0
Budapest-Nyugati,Berlin Hbf,689.5151221159268,147.5085360755162,0,1,0
Cerbère,Paris Austerlitz,714.240059971162,158.84795312400897,0,1,-1
