stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
at:42:3654:0:18,,Villach Hauptbahnhof Bstg F1,46.6177326,13.8478894,,,,0,F1
at:44:41177:0:4,,Linz/Donau Industriezeile,48.3011709,14.3202236,,,,0,
at:44:46868:0:1,,Wels Eisenfeldstraße,48.165018,14.0393114,,,,0,
at:45:50809:0:3,,Salzburg Alpensiedlung P+R,47.7698673,13.0708467,,,,0,
at:45:52197:0:5,,Schwarzach-St.Veit Bahnhof,47.3184743,13.1550547,,,,0,
at:45:54001:0:2,,Saalfelden Bahnhof,47.4268359,12.8298287,,,,0,
at:45:54001:0:3,,Saalfelden Bahnhof,47.4268238,12.8297209,,,,0,
at:45:54104:0:7,,Zell am See Bahnhof,47.3205691,12.7967617,,,,0,
at:45:54104:0:8,,Zell am See Bahnhof,47.3205996,12.7967168,,,,0,
at:45:54253:0:1,,Maishofen-Saalbach Bahnhof,47.3588834,12.8103262,,,,0,
at:45:54253:0:3,,Maishofen-Saalbach Bahnhof,47.358853,12.8104071,,,,0,
at:46:3340:0:6,,Graz Fernbusbahnhof P+R Webling Bstg A,47.0363724,15.4100327,,,,0,A
at:47:1153:0:1,,Hochfilzen Bahnhof,47.4674961,12.6264411,,,,0,
at:47:1153:0:5,,Hochfilzen Bahnhof,47.4675629,12.6265309,,,,0,
at:47:1155:0:1,,Fieberbrunn Bahnhof,47.4910164,12.529441,,,,0,
at:47:1155:0:2,,Fieberbrunn Bahnhof,47.4909436,12.5293961,,,,0,
at:47:1157:0:1,,St. Johann i. T. Bahnhof,47.5196407,12.4306713,,,,0,
at:47:1157:0:2,,St. Johann i. T. Bahnhof,47.5195557,12.4306713,,,,0,
at:47:1160:0:3,,Kitzbühel Bahnhof,47.4539644,12.3910196,,,,0,
at:47:1160:0:4,,Kitzbühel Bahnhof,47.4539948,12.3911454,,,,0,
at:47:1161:0:1,,Kitzbühel Hahnenkamm Bahnhof,47.4433577,12.3899686,,,,0,
at:47:1161:0:2,,Kitzbühel Hahnenkamm Bahnhof,47.4432909,12.3899147,,,,0,
at:47:1163:0:1,,Kirchberg i. T. Bahnhof,47.4489529,12.3088956,,,,0,
at:47:1163:0:4,,Kirchberg i. T. Bahnhof,47.4489104,12.3088867,,,,0,
at:47:1168:0:3,,Hopfgarten i. Br. Bahnhof,47.4556348,12.1490314,,,,0,
at:47:1168:0:4,,Hopfgarten i. Br. Bahnhof,47.4552704,12.1490135,,,,0,
at:47:1170:0:13,,Wörgl Hauptbahnhof,47.4921333,12.0612211,,,,0,
at:47:1170:0:17,,Wörgl Hauptbahnhof,47.4919937,12.0613828,,,,0,
at:47:2184:0:13,,Kufstein Bahnhof,47.5830959,12.1655874,,,,0,
at:47:2184:0:18,,Kufstein Bahnhof,47.5830959,12.1656413,,,,0,
at:47:68442:0:1,,Innsbruck Südbahnstraße Ersatzhaltestelle,47.2584609,11.3997826,,,,0,
