stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
de:08336:73894:0:1,,Wyhlen Kraftwerk,47.5401966,7.7064851,,,,0,
de:08336:73895:0:1,,Wyhlen Degussaweg,47.5391899,7.7022989,,,,0,
de:08336:73896:0:1,,Wyhlen Im Fallberg,47.5379224,7.6993794,,,,0,
de:08336:73897:0:1,,Wyhlen Rheinstraße,47.5487526,7.6895518,,,,0,
de:08336:73898:0:1,,Neuenweg Hau,47.7955814,7.8363725,,,,0,
de:08336:73898:0:2,,Neuenweg Hau,47.7955814,7.8363725,,,,0,
de:08336:73899:0:1,,Böllen Böllen,47.8015192,7.8400196,,,,0,
de:08336:73899:0:2,,Böllen Böllen,47.8015192,7.8400196,,,,0,
de:08336:73901:0:1,,Wembach Ort,47.7734958,7.8844773,,,,0,
de:08336:73901:0:2,,Wembach Ort,47.7734958,7.8844773,,,,0,
de:08336:73902:0:1,,Neuenweg Belchenhöfe,47.8028286,7.8289344,,,,0,
de:08336:73902:0:2,,Neuenweg Belchenhöfe,47.8028286,7.8289344,,,,0,
de:08336:82401:0:1,,Rheinfelden (Baden) Am Vogelsang,47.5754424,7.7862465,,,,0,
de:08336:82513:0:1,,Rheinfelden (Baden) Römerstraße,47.5696849,7.7839468,,,,0,
de:08336:82513:0:2,,Rheinfelden (Baden) Römerstraße,47.5696546,7.7839648,,,,0,
de:08336:82514:0:2,,Rheinfelden (Baden) THW,47.5722668,7.7961819,,,,0,
de:08336:82515:0:1,,Rheinfelden (Baden) Güterstraße,47.5572344,7.7851236,,,,0,
de:08336:82522:0:1,,Schliengen Schalls. Ort,47.7655804,7.6569969,,,,0,
de:08336:967:1:1,,Schliengen Blankenhorn,47.7550306,7.5774241,,,,0,
de:08336:967:1:2,,Schliengen Blankenhorn,47.7549582,7.577478,,,,0,
de:08336:99:0:3,,Wieden Hohtann,47.8299677,7.8585788,,,,0,
de:08336:99:0:4,,Wieden Hohtann,47.829431,7.8594053,,,,0,
de:08337:1086:0:1,,Bonndorf Schwarzwaldhotel,47.8165537,8.3344883,,,,0,
de:08337:1086:0:2,,Bonndorf Schwarzwaldhotel,47.8167709,8.3346949,,,,0,
de:08337:1088:0:1,,Bonndorf Abzw. Boll,47.8204142,8.347963,,0,de:08337:1088_Parent,0,
de:08337:1088:0:2,,Bonndorf Abzw. Boll,47.8210656,8.3483583,,0,de:08337:1088_Parent,0,
de:08337:1088:0:3,,Bonndorf Abzw. Boll,47.8204685,8.3479451,,0,de:08337:1088_Parent,0,
de:08337:1088:0:4,,Bonndorf Abzw. Boll,47.820758,8.3478822,,0,de:08337:1088_Parent,0,
de:08337:1088_Parent,,Bonndorf Abzw. Boll,47.8207882,8.347999,,1,,,
de:08337:1089:0:1,,Bonndorf Aussiedlerhöfe,47.8212104,8.3731787,,,,0,
de:08337:1089:0:2,,Bonndorf Aussiedlerhöfe,47.820945,8.3709869,,,,0,
de:08337:1090:0:1,,Wutach Wutachmühle,47.8481169,8.4494457,,,,0,
de:08337:1090:0:2,,Wutach Wutachmühle,47.8481591,8.4494277,,,,0,
de:08337:1091:0:1,,Ewattingen Unterdorf,47.8386934,8.4448733,,,,0,
de:08337:1091:0:2,,Ewattingen Unterdorf,47.8387778,8.4448553,,,,0,
de:08337:1092:0:1,,Ewattingen Oberdorf,47.8360222,8.4408668,,,,0,
de:08337:1092:0:2,,Ewattingen Oberdorf,47.8361428,8.4409566,,,,0,
de:08337:1093:0:1,,Ewattingen Kalkwerk,47.832995,8.4273382,,,,0,
de:08337:1093:0:2,,Ewattingen Kalkwerk,47.8329106,8.4270507,,,,0,
de:08337:1094:0:1,,Münchingen,47.8250344,8.3963014,,,,0,
de:08337:1094:0:2,,Münchingen,47.8251248,8.3965799,,,,0,
de:08337:1232:0:1,,Wellendingen (RW) Schule,48.1452058,8.7024562,,,,0,
de:08337:1232:0:2,,Wellendingen (RW) Schule,48.1452058,8.7024562,,,,0,
de:08337:1721:0:1,,Wutach Bruderhof,47.8524452,8.4462028,,,,0,
de:08337:1721:0:2,,Wutach Bruderhof,47.8524452,8.4462028,,,,0,
de:08337:1722:0:1,,Wutach Wanderparkplatz,47.8484183,8.4507752,,,,0,
de:08337:21132:90,,Stühlingen Bahnhof,47.7430833,8.4459962,,,,0,
de:08337:4000:0:1,,Waldshut Eichholzstraße Nord,47.622945,8.2335087,,,,0,
de:08337:4001,,Waldshut Busbahnhof,47.6206078,8.2187314,,0,de:08337:4001_Parent,0,
de:08337:4001:0:1,,Waldshut Busbahnhof,47.6208137,8.2188212,,0,de:08337:4001_Parent,0,
de:08337:4001:0:10,,Waldshut Busbahnhof,47.6204565,8.2184529,,0,de:08337:4001_Parent,0,
de:08337:4001:0:13,,Waldshut Busbahnhof,47.6208137,8.2188212,,0,de:08337:4001_Parent,0,
de:08337:4001:0:2,,Waldshut Busbahnhof,47.6207229,8.2190099,,0,de:08337:4001_Parent,0,
de:08337:4001:0:3,,Waldshut Busbahnhof,47.6206078,8.2190638,,0,de:08337:4001_Parent,0,
de:08337:4001:0:4,,Waldshut Busbahnhof,47.6204807,8.21892,,0,de:08337:4001_Parent,0,
de:08337:4001:0:5,,Waldshut Busbahnhof,47.6206502,8.2188661,,0,de:08337:4001_Parent,0,
de:08337:4001:0:6,,Waldshut Busbahnhof,47.6206684,8.2187853,,0,de:08337:4001_Parent,0,
de:08337:4001:0:7,,Waldshut Busbahnhof,47.6206684,8.2187045,,0,de:08337:4001_Parent,0,
de:08337:4001:0:8,,Waldshut Busbahnhof,47.6206563,8.2186236,,0,de:08337:4001_Parent,0,
de:08337:4001:0:9,,Waldshut Busbahnhof,47.6204867,8.2186506,,0,de:08337:4001_Parent,0,
de:08337:4001_Parent,,Waldshut Busbahnhof,47.6206078,8.2187314,,1,,,
de:08337:4002:0:1,,Waldshut Krankenhaus,47.622721,8.2067569,,,,0,
de:08337:4002:0:2,,Waldshut Krankenhaus,47.623393,8.2086613,,,,0,
de:08337:4003:0:1,,Waldshut Liedermatte,47.6180223,8.1904255,,,,0,
de:08337:4003:0:2,,Waldshut Liedermatte,47.6174894,8.1896979,,,,0,
de:08337:4004:0:1,,Waldshut Liederbach,47.617665,8.1857722,,,,0,
de:08337:4006:0:1,,Waldshut Theodor-Heuss-Schule,47.6199842,8.1889702,,,,0,
de:08337:4007:0:1,,Waldshut Mozartstraße,47.6216553,8.1939918,,,,0,
de:08337:4008:0:2,,Waldshut Eschbacher Straße 33,47.6225091,8.1971988,,,,0,
de:08337:4009:0:2,,Waldshut Eschbacher Straße 5,47.6230661,8.2015376,,,,0,
de:08337:4010:0:1,,Rheinheim Hardtweg,47.585459,8.3098116,,,,0,
