origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg
Augsburg Hbf,Lindau-Insel,Train Longue Distance Nuit,48.3653218,10.885003,47.5451508,9.6804521,22:32:00,25:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Lindau-Insel,127.91678167384742,2.0308068258540017
Augsburg Hbf,Lindau-Reutin,Train Longue Distance Nuit,48.3650353,10.8854791,47.5523177,9.7012121,06:32:00,08:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Lindau-Reutin,126.26370387017384,2.0045625626428802
Augsburg Hbf,Nürnberg Hbf,Train Longue Distance,48.3655187,10.8854791,49.445545,11.0822281,11:26:00,12:51:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Nürnberg Hbf,120.95120215977555,1.9202212854885965
Augsburg Hbf,Oberstaufen,Train Longue Distance Nuit,48.3650353,10.8854791,47.5539364,10.0255039,06:32:00,08:06:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Oberstaufen,110.60952394583622,1.7560368021640957
Augsburg Hbf,Röthenbach (Allgäu),Train Longue Distance Nuit,48.3650353,10.8854791,47.6205715,9.9535579,06:32:00,08:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Röthenbach (Allgäu),107.98811752856136,1.7144193538834402
Augsburg Messe Bstg 2,Heimenkirch,Train Longue Distance Nuit,48.3387921,10.8861169,47.6288722,9.9022551,06:37:00,08:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Heimenkirch,107.67132068759153,1.709389887236203
Augsburg Messe Bstg 2,Hergatz,Train Longue Distance Nuit,48.3387921,10.8861169,47.6466862,9.82712,06:37:00,08:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Hergatz,110.146954666516,1.7486930522856081
Augsburg Messe Bstg 2,Immenstadt,Train Longue Distance Nuit,48.3387921,10.8861169,47.5590591,10.214258,06:37:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Immenstadt,100.10466447834541,1.5892616532582118
Augsburg Messe Bstg 2,Lindau-Insel,Train Longue Distance Nuit,48.3387921,10.8861169,47.5451508,9.6804521,22:38:00,25:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Lindau-Insel,125.90633313246497,1.9988889448110136
Augsburg Messe Bstg 2,Lindau-Reutin,Train Longue Distance Nuit,48.3387921,10.8861169,47.5523177,9.7012121,06:37:00,08:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Lindau-Reutin,124.24165795805366,1.97246056174206
Augsburg Messe Bstg 2,Oberstaufen,Train Longue Distance Nuit,48.3387921,10.8861169,47.5539364,10.0255039,06:37:00,08:06:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Oberstaufen,108.28113205479231,1.7190712525018825
Augsburg Messe Bstg 2,Röthenbach (Allgäu),Train Longue Distance Nuit,48.3387921,10.8861169,47.6205715,9.9535579,06:37:00,08:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Messe Bstg 2,Röthenbach (Allgäu),105.81057932391393,1.6798487573464576
Augsburg Morellstraße,Heimenkirch,Train Longue Distance Nuit,48.3550375,10.893025,47.6288722,9.9022551,06:35:00,08:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Heimenkirch,109.34075075514787,1.7358937589887276
Augsburg Morellstraße,Hergatz,Train Longue Distance Nuit,48.3550375,10.893025,47.6466862,9.82712,06:35:00,08:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Hergatz,111.77178603672775,1.7744888751190897
Augsburg Morellstraße,Immenstadt,Train Longue Distance Nuit,48.3550375,10.893025,47.5590591,10.214258,06:35:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Immenstadt,101.92342631681974,1.6181363162058302
Augsburg Morellstraße,Lindau-Insel,Train Longue Distance Nuit,48.3550375,10.893025,47.5451508,9.6804521,22:35:00,25:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Lindau-Insel,127.53267463704034,2.0247087425376527
