origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg
București Nord,Arad,InterCity,44.44677,26.07441,46.19134,21.32492,2026-03-16 19:28:00,2026-03-16 08:15:00,,back_on_track,BackOnTrack,București Nord,Arad,418.867119159711,21.427566347734174
București Nord,Arad,InterCity,44.44677,26.07441,46.19134,21.32492,2026-03-16 19:28:00,2026-03-16 08:15:00,,back_on_track,BackOnTrack,București Nord,Arad,418.867119159711,21.427566347734174
Arad,București Nord,InterCity,46.19134,21.32492,44.44677,26.07441,2026-03-16 19:05:00,2026-03-16 07:29:00,,back_on_track,BackOnTrack,Arad,București Nord,418.867119159711,17.733158356745523
Arad,București Nord,InterCity,46.19134,21.32492,44.44677,26.07441,2026-03-16 19:05:00,2026-03-16 07:29:00,,back_on_track,BackOnTrack,Arad,București Nord,418.867119159711,17.733158356745523
Varna,Sofia,InterCity,,,,,2026-03-16 21:40:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack,Varna,Sofia,,
Sofia,Varna,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 06:52:00,,back_on_track,BackOnTrack,Sofia,Varna,,
Dobrich,Sofia,InterCity,,,,,2026-03-16 20:35:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack,Dobrich,Sofia,,
Sofia,Dobrich,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 08:05:00,,back_on_track,BackOnTrack,Sofia,Dobrich,,
Varna,Sofia,InterCity,,,,,2026-03-16 23:40:00,2026-03-16 09:00:00,,back_on_track,BackOnTrack,Varna,Sofia,,
Sofia,Varna,InterCity,,,,,2026-03-16 23:05:00,2026-03-16 07:16:00,,back_on_track,BackOnTrack,Sofia,Varna,,
Burgas,Sofia,InterCity,,,,,2026-03-16 22:50:00,2026-03-16 05:13:00,,back_on_track,BackOnTrack,Burgas,Sofia,,
Sofia,Burgas,InterCity,,,,,2026-03-16 23:40:00,2026-03-16 05:55:00,,back_on_track,BackOnTrack,Sofia,Burgas,,
Burgas,Sofia,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack,Burgas,Sofia,,
Sofia,Burgas,InterCity,,,,,2026-03-16 22:50:00,2026-03-16 05:50:00,,back_on_track,BackOnTrack,Sofia,Burgas,,
Varna,Sofia,InterCity,,,,,2026-03-16 23:45:00,2026-03-16 09:00:00,,back_on_track,BackOnTrack,Varna,Sofia,,
Sofia,Varna,InterCity,,,,,2026-03-16 21:00:00,2026-03-16 05:42:00,,back_on_track,BackOnTrack,Sofia,Varna,,
