stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
de:09182:69356,,"Otterfing, Gasthof Feickert",47.9016833,11.6689268,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69356,1,,
de:09182:69356:0:1,,"Otterfing, Gasthof Feickert",47.9016712,11.6689628,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69356,0,de:09182:69356,
de:09182:69356:0:2,,"Otterfing, Gasthof Feickert",47.9017013,11.6688909,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69356,0,de:09182:69356,
de:09182:69357,,"Otterfing, Kölblweg",47.907356,11.6733466,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69357,1,,
de:09182:69357:0:1,,"Otterfing, Kölblweg",47.9074102,11.6734094,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69357,0,de:09182:69357,
de:09182:69357:0:2,,"Otterfing, Kölblweg",47.907362,11.6732837,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:69357,0,de:09182:69357,
de:09182:90189,,Agatharied,47.7663834,11.8254403,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:90189,1,,
de:09182:90239,,Finsterwald,47.7532973,11.727524,https://efa.mvv-muenchen.de/index.html?name_origin=de:09182:90239,1,,
de:09183:10194,,Rampoldsheim,48.2690412,12.2845872,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10194,1,,
de:09183:10194:0:1,,Rampoldsheim,48.2689874,12.2845603,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10194,0,de:09183:10194,
de:09183:10194:0:2,,Rampoldsheim,48.269101,12.2845693,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10194,0,de:09183:10194,
de:09183:10240,,Lacken (b. Kraiburg),48.1695954,12.4613757,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10240,1,,
de:09183:10240:0:1,,Lacken (b. Kraiburg),48.1694157,12.4612499,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10240,0,de:09183:10240,
de:09183:10240:0:2,,Lacken (b. Kraiburg),48.1697812,12.4614835,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10240,0,de:09183:10240,
de:09183:10280,,Hartmering,48.2929715,12.483079,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10280,1,,
de:09183:10280:0:1,,Hartmering,48.2929775,12.483061,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10280,0,de:09183:10280,
de:09183:10432,,"Neumarkt-St. Veit, Elsenbacher Str.",48.3676852,12.5068304,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10432,1,,
de:09183:10432:0:2,,"Neumarkt-St. Veit, Elsenbacher Str.",48.3676553,12.5069113,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:10432,0,de:09183:10432,
de:09183:11345,,Lichtberg,48.4027765,12.4450892,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11345,1,,
de:09183:11345:0:1,,Lichtberg,48.4027824,12.4451162,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11345,0,de:09183:11345,
de:09183:11612,,Gaisberg (Kr MÜ),48.1758618,12.3063354,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11612,1,,
de:09183:11612:0:1,,Gaisberg (Kr MÜ),48.1758977,12.3062815,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11612,0,de:09183:11612,
de:09183:11612:0:2,,Gaisberg (Kr MÜ),48.1758318,12.3064073,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11612,0,de:09183:11612,
de:09183:11648,,"Waldkraiburg, Industriegebiet",48.2179688,12.4119683,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11648,1,,
de:09183:11648:0:1,,"Waldkraiburg, Industriegebiet",48.217903,12.4119683,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11648,0,de:09183:11648,
de:09183:11648:0:2,,"Waldkraiburg, Industriegebiet",48.2180586,12.4119683,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11648,0,de:09183:11648,
de:09183:11722,,Breitenloh (Kr MÜ),48.3018103,12.4820369,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11722,1,,
de:09183:11722:0:1,,Breitenloh (Kr MÜ),48.3017983,12.48201,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11722,0,de:09183:11722,
de:09183:11723,,"Haag, Abzw. Rosenberg",48.1632864,12.1692885,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11723,1,,
de:09183:11723:0:1,,"Haag, Abzw. Rosenberg",48.1633643,12.1689022,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11723,0,de:09183:11723,
de:09183:11723:0:2,,"Haag, Abzw. Rosenberg",48.1632325,12.1696658,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11723,0,de:09183:11723,
de:09183:11895,,"Haitzing, Abzw.",48.2883752,12.4719578,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11895,1,,
de:09183:11895:0:1,,"Haitzing, Abzw.",48.2883872,12.4719668,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:11895,0,de:09183:11895,
de:09183:1419,,"Radlbrunn, Abzw.",48.2716721,12.3771676,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1419,1,,
de:09183:1419:0:1,,"Radlbrunn, Abzw.",48.2716123,12.3772035,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1419,0,de:09183:1419,
de:09183:1419:0:2,,"Radlbrunn, Abzw.",48.2717379,12.3771406,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1419,0,de:09183:1419,
de:09183:15159,,Unterbierwang,48.1272507,12.3824677,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15159,1,,
de:09183:15159:0:1,,Unterbierwang,48.1273647,12.381758,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15159,0,de:09183:15159,
de:09183:15159:0:2,,Unterbierwang,48.1272088,12.3826653,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15159,0,de:09183:15159,
de:09183:15160,,"Mittergars, Ort",48.1511934,12.3307157,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15160,1,,
de:09183:15160:0:1,,"Mittergars, Ort",48.1512474,12.3308415,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15160,0,de:09183:15160,
de:09183:15160:0:2,,"Mittergars, Ort",48.1511634,12.3306618,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15160,0,de:09183:15160,
de:09183:1573,,"Großmaier, Abzw. Franking",48.1494553,12.4233859,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1573,1,,
de:09183:1573:0:1,,"Großmaier, Abzw. Franking",48.1494853,12.423359,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1573,0,de:09183:1573,
de:09183:1573:0:2,,"Großmaier, Abzw. Franking",48.1494194,12.4233949,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1573,0,de:09183:1573,
de:09183:1574,,Einharting,48.1410698,12.4032726,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1574,1,,
de:09183:1574:0:1,,Einharting,48.1410998,12.4032187,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1574,0,de:09183:1574,
de:09183:1574:0:2,,Einharting,48.1410398,12.4033176,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1574,0,de:09183:1574,
de:09183:1575,,"Grünthal, Ort",48.1409379,12.3945141,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1575,1,,
de:09183:1575:0:1,,"Grünthal, Ort",48.1409919,12.3944332,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1575,0,de:09183:1575,
de:09183:1575:0:2,,"Grünthal, Ort",48.14089,12.3945769,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1575,0,de:09183:1575,
de:09183:1576,,Holling,48.1197611,12.2939297,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1576,1,,
de:09183:1576:0:1,,Holling,48.1197971,12.2939207,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1576,0,de:09183:1576,
de:09183:1576:0:2,,Holling,48.1197311,12.2939387,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1576,0,de:09183:1576,
de:09183:1577,,Dirnberg,48.1212843,12.2898514,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1577,1,,
de:09183:1577:0:1,,Dirnberg,48.1213263,12.2898603,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1577,0,de:09183:1577,
de:09183:1577:0:2,,Dirnberg,48.1212423,12.2898514,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1577,0,de:09183:1577,
