route_id,trip_id,shape_id,route_type,route_short_name,route_long_name
ddb-90-T87-1,ddb-90-T87-1-1-135-R-58-Special#727-195-166,ddb-90-T87-1-1-135-R-58,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#469-206-167,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#5456-205-168,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-143-R-66-Special#727-207-169,ddb-90-T87-1-1-143-R-66,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#469-209-170,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#5456-208-171,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-143-R-66-Special#727-210-172,ddb-90-T87-1-1-143-R-66,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#469-212-173,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#5456-211-174,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-143-R-66-Special#727-213-175,ddb-90-T87-1-1-143-R-66,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#469-215-176,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#5456-214-177,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-143-R-66-Special#727-216-178,ddb-90-T87-1-1-143-R-66,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#469-218-179,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-142-R-65-Special#5456-217-180,ddb-90-T87-1-1-142-R-65,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-143-R-66-Special#727-219-181,ddb-90-T87-1-1-143-R-66,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-136-R-59-Special#8807-196-182,ddb-90-T87-1-1-136-R-59,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-137-R-60-Special#2515-197-183,ddb-90-T87-1-1-137-R-60,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-138-R-61-Special#117-198-184,ddb-90-T87-1-1-138-R-61,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-139-R-62-Special#123-199-185,ddb-90-T87-1-1-139-R-62,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-140-R-63-Special#4862-203-186,ddb-90-T87-1-1-140-R-63,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-140-R-63-Special#2783-200-187,ddb-90-T87-1-1-140-R-63,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-140-R-63-Special#8812-202-188,ddb-90-T87-1-1-140-R-63,2,RE 87,
ddb-90-T87-1,ddb-90-T87-1-1-141-R-64-Special#4914-204-189,ddb-90-T87-1-1-141-R-64,2,RE 87,
