origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider
București Nord,Arad,InterCity,44.44677,26.07441,46.19134,21.32492,2026-03-16 19:28:00,2026-03-16 08:15:00,,back_on_track,BackOnTrack
București Nord,Arad,InterCity,44.44677,26.07441,46.19134,21.32492,2026-03-16 19:28:00,2026-03-16 08:15:00,,back_on_track,BackOnTrack
Arad,București Nord,InterCity,46.19134,21.32492,44.44677,26.07441,2026-03-16 19:05:00,2026-03-16 07:29:00,,back_on_track,BackOnTrack
Arad,București Nord,InterCity,46.19134,21.32492,44.44677,26.07441,2026-03-16 19:05:00,2026-03-16 07:29:00,,back_on_track,BackOnTrack
Varna,Sofia,InterCity,,,,,2026-03-16 21:40:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack
Sofia,Varna,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 06:52:00,,back_on_track,BackOnTrack
Dobrich,Sofia,InterCity,,,,,2026-03-16 20:35:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack
Sofia,Dobrich,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 08:05:00,,back_on_track,BackOnTrack
Varna,Sofia,InterCity,,,,,2026-03-16 23:40:00,2026-03-16 09:00:00,,back_on_track,BackOnTrack
Sofia,Varna,InterCity,,,,,2026-03-16 23:05:00,2026-03-16 07:16:00,,back_on_track,BackOnTrack
Burgas,Sofia,InterCity,,,,,2026-03-16 22:50:00,2026-03-16 05:13:00,,back_on_track,BackOnTrack
Sofia,Burgas,InterCity,,,,,2026-03-16 23:40:00,2026-03-16 05:55:00,,back_on_track,BackOnTrack
Burgas,Sofia,InterCity,,,,,2026-03-16 23:00:00,2026-03-16 05:45:00,,back_on_track,BackOnTrack
Sofia,Burgas,InterCity,,,,,2026-03-16 22:50:00,2026-03-16 05:50:00,,back_on_track,BackOnTrack
Varna,Sofia,InterCity,,,,,2026-03-16 23:45:00,2026-03-16 09:00:00,,back_on_track,BackOnTrack
Sofia,Varna,InterCity,,,,,2026-03-16 21:00:00,2026-03-16 05:42:00,,back_on_track,BackOnTrack
Silistra,Sofia,InterCity,,,,,2026-03-16 18:20:00,2026-03-16 05:46:00,,back_on_track,BackOnTrack
Sofia,Silistra,InterCity,,,,,2026-03-16 20:10:00,2026-03-16 07:20:00,,back_on_track,BackOnTrack
Praha hl.n.,Zürich HB,InterCity,50.08321,14.43531,47.37818,8.54021,2026-03-16 18:28:00,2026-03-16 08:30:00,,back_on_track,BackOnTrack
Praha hl.n.,Zürich HB,InterCity,50.08321,14.43531,47.37818,8.54021,2026-03-16 18:28:00,2026-03-16 08:30:00,,back_on_track,BackOnTrack
Zürich HB,Praha hl.n.,EuroNight,47.37818,8.54021,50.08321,14.43531,2026-03-16 19:59:00,2026-03-16 09:23:00,,back_on_track,BackOnTrack
Zürich HB,Praha hl.n.,EuroNight,47.37818,8.54021,50.08321,14.43531,2026-03-16 19:59:00,2026-03-16 09:23:00,,back_on_track,BackOnTrack
Budapest-Nyugati,Berlin Hbf,EuroNight,47.51068,19.05769,52.52508,13.3694,2026-03-16 19:30:00,2026-03-16 08:14:00,,back_on_track,BackOnTrack
Praha hl.n.,Budapest Nyugati,EuroNight,50.08321,14.43531,47.51133,19.05866,2026-03-16 22:03:00,2026-03-16 08:29:00,,back_on_track,BackOnTrack
București Nord,Budapest Keleti,InterCity,44.44677,26.07441,47.50059,19.08426,2026-03-16 21:00:00,2026-03-16 12:50:00,,back_on_track,BackOnTrack
Budapest Keleti,București Nord,InterCity,47.50059,19.08426,44.44677,26.07441,2026-03-16 15:10:00,2026-03-16 08:42:00,,back_on_track,BackOnTrack
Brașov,Budapest Keleti,InterCity,45.64379,25.58684,47.50059,19.08426,2026-03-16 18:51:00,2026-03-16 09:55:00,,back_on_track,BackOnTrack
Brașov,Budapest Keleti,InterCity,45.64379,25.58684,47.50059,19.08426,2026-03-16 18:51:00,2026-03-16 09:55:00,,back_on_track,BackOnTrack
Budapest Keleti,Brașov,InterCity,47.50059,19.08426,45.64379,25.58684,2026-03-16 17:40:00,2026-03-16 09:43:00,,back_on_track,BackOnTrack
Budapest Keleti,Brașov,InterCity,47.50059,19.08426,45.64379,25.58684,2026-03-16 17:40:00,2026-03-16 09:43:00,,back_on_track,BackOnTrack
București Nord,Wien Hbf,InterCity,44.44677,26.07441,48.1851,16.37711,2026-03-16 14:07:00,2026-03-16 08:21:00,,back_on_track,BackOnTrack
Wien Hbf,București Nord,InterCity,48.1851,16.37711,44.44677,26.07441,2026-03-16 19:42:00,2026-03-16 15:06:00,,back_on_track,BackOnTrack
