station_lat,station_long,airport_name,aero_lat,aero_long,iata_code,country_code,station_airport_km,station_name
47.01287,28.86019,Chişinău International Airport,46.92774,28.931704,RMO,MD,10.910998433078262,Chişinău
48.43271,22.20555,Kráľovský Chlmec Airstrip,48.413942,22.002993,,SK,15.09193814136415,Chop
46.7842,23.58662,Avram Iancu Cluj International Airport,46.786042,23.685733,CLJ,RO,7.5491643238799595,Cluj-Napoca
44.16877,28.63189,Tuzla Airport,43.984493,28.606225,,RO,20.592979570642147,Constanța
47.9478781,8.4989609,Donaueschingen-Villingen Airfield,47.973331,8.522222,,DE,3.3181587899882077,Donaueschingen Bahnhof
48.1425324,11.5348982,Schleissheim Airfield,48.239166,11.559334,,DE,10.896774762876158,Donnersbergerbrücke
51.5176113,7.4588016,Dortmund Airport,51.518299,7.61224,DTM,DE,10.617166613604285,Dortmund Hbf
63.38985,12.91755,Åre / Molanda,63.3283291729,13.425722122199998,,SE,26.24437101495265,Duved
51.2212,6.79271,Düsseldorf-Wolfsaap Glider Field,51.2649,6.8539,,DE,6.461796024963823,Düsseldorf Hbf
48.716218,9.526939,Göppingen-Bezgenriet Airfield,48.658611,9.624167,,DE,9.59019645290336,Ebersbach (F) Gleis 2
55.9544,-3.18441,Edinburgh Airport,55.950145,-3.372288,EDI,GB,11.706128821760334,Edinburgh Waverley
41.65543,26.5802,Raykova Mogila Airfield,41.815966,26.304145,,BG,29.040223730506632,Edirne
48.2858588,9.7244695,Schlechtenfeld Glider Strip,48.284722,9.673333,,DE,3.7857798822163513,Ehingen (Donau)
47.5641329,9.6651717,Wildberg Airfield,47.600278,9.741944,,DE,7.02219521168131,Enzisweiler
47.6285453,9.5265886,Bodensee Airport Friedrichshafen,47.671299,9.51149,FDH,DE,4.886677679254983,Eriskirch Bahnhof
47.6601803,8.430635,Bohlhof Glider Field,47.6509,8.3867,,DE,3.4487092739246705,Erzingen (Baden) Bahnhof
48.7386467,9.3006623,Esslingen-Jägerhaus Airfield,48.762222,9.333889,,DE,3.578580094316121,Esslingen (N) Gleis 3
48.7385696,9.3006174,Esslingen-Jägerhaus Airfield,48.762222,9.333889,,DE,3.5871040071625435,Esslingen (N) Gleis 5
48.3908832,10.0260519,Erbach Airfield,48.34222,9.916111,,DE,9.759239820892176,Finninger Straße
47.4561086,10.2717771,Agathazell Airfield,47.554788,10.272868,,DE,10.97295460694238,Fischen
47.8367638,12.9764786,Salzburg Airport,47.793301,13.0043,SZG,AT,5.2604272447572695,Freilassing
47.6515396,9.4824544,Bodensee Airport Friedrichshafen,47.671299,9.51149,FDH,DE,3.0912636400227687,Friedrichshafen Hafenbahnhof
47.6533671,9.473588,Bodensee Airport Friedrichshafen,47.671299,9.51149,FDH,DE,3.4688146030847067,Friedrichshafen Stadtbahnhof
49.6856202,1.7742912,Saint-Thibault Airfield,49.693374,1.81118,,FR,2.7901588869401737,Gare de Abancourt
50.1319184,2.7801146,La Boisselle Airfield,50.015803,2.688594,,FR,14.469411779272296,Gare de Achiet
50.0053968,2.6444827,La Boisselle Airfield,50.015803,2.688594,,FR,3.3578197516884227,Gare de Albert
48.4338845,0.0985309,Alençon-Valframbert Airfield,48.446568,0.107996,,FR,1.5737087071439635,Gare de Alençon
47.4214655,0.9817614,Amboise Dierre Airfield,47.339771,0.945861,,FR,9.477644678354919,Gare de Amboise
49.8905865,2.3082788,Amiens Glisy Airfield,49.873004,2.387074,,FR,5.97463626939282,Gare de Amiens
48.4382945,1.3893962,Loulappe Airfield,48.438333,1.274444,,FR,8.479978857397228,Gare de Amilly - Ouerray
47.369337,-1.1777593,Ancenis Airfield,47.4081,-1.1775,,FR,4.310293143782139,Gare de Ancenis
47.466953,-0.5324366,Soulaire Airfield,47.565556,-0.549722,,FR,11.04073186251907,Gare de Angers Maître École
47.4646464,-0.5567748,Soulaire Airfield,47.565556,-0.549722,,FR,11.233130106937878,Gare de Angers Saint-Laud
48.7385458,-0.0252909,Argentan Airfield,48.709456,0.002856,,FR,3.837421017195605,Gare de Argentan
50.2868105,2.78016,Arras-Roclincourt Airfield,50.323898,2.80278,,FR,4.425791554293361,Gare de Arras
49.216131,-0.5960138,Caen Carpiquet airport,49.17678,-0.454883,CFR,FR,11.149382615002365,Gare de Audrieu
49.7160925,1.0984238,Lammerville Airfield,49.805556,0.973333,,FR,13.405026732741721,Gare de Auffay
