station_name,city,lat,lon,country_code,annual_station_traffic,city_population
Gare de Amboise,Gare de Amboise,47.4214655,0.9817614,,855042.0,12937.0
Gare de Amiens,Gare de Amiens,49.8905865,2.3082788,,7395165.0,136449.0
Gare de Amilly - Ouerray,Gare de Amilly - Ouerray,48.4382945,1.3893962,,56169.0,13582.0
Gare de Ancenis,Gare de Ancenis,47.369337,-1.1777593,,1179679.0,75580.0
Gare de Angers Maître École,Gare de Angers Maître École,47.466953,-0.5324366,,46045.0,159022.0
Gare de Angers Saint-Laud,Gare de Angers Saint-Laud,47.4646464,-0.5567748,,7116373.0,159022.0
Gare de Argentan,Gare de Argentan,48.7385458,-0.0252909,,398579.0,13527.0
Gare de Arras,Gare de Arras,50.2868105,2.78016,,4773655.0,42875.0
Gare de Audrieu,Gare de Audrieu,49.216131,-0.5960138,,28711.0,1167.0
Gare de Auffay,Gare de Auffay,49.7160925,1.0984238,,56169.0,75580.0
Gare de Auray,Gare de Auray,47.6800865,-2.9993628,,1317309.0,14207.0
Gare de Batz-sur-Mer,Gare de Batz-sur-Mer,47.28086,-2.4788695,,336887.0,2892.0
Gare de Bayeux,Gare de Bayeux,49.2697288,-0.6980999,,662073.0,12659.0
Gare de Beaugency,Gare de Beaugency,47.7784038,1.6259389,,531504.0,8024.0
Gare de Beaumont-le-Roger,Gare de Beaumont-le-Roger,49.0741994,0.7726988,,16294.0,2769.0
Gare de Bernay,Gare de Bernay,49.0871158,0.5956878,,655294.0,9765.0
Gare de Blois - Chambord,Gare de Blois - Chambord,47.5854518,1.3237539,,203396.0,47219.0
Gare de Bournezeau,Gare de Bournezeau,46.6515229,-1.1783978,,2085.0,3452.0
Gare de Bressuire,Gare de Bressuire,46.8384051,-0.4961401,,20062.0,19970.0
Gare de Brest,Gare de Brest,48.3876203,-4.4803058,,2777923.0,142346.0
Gare de Bretoncelles,Gare de Bretoncelles,48.4327315,0.8923604,,26008.0,1455.0
Gare de Bretteville - Norrey,Gare de Bretteville - Norrey,49.2034122,-0.5127396,,22271.0,1027.0
Gare de Brion-près-Thouet,Gare de Brion-près-Thouet,47.0487214,-0.1848964,,,759.0
