station_name,city,lat,lon,country_code,annual_station_traffic,city_population
Kremenchuk,Kremenchuk,,,,,
Kressbronn Bahnhof,Kressbronn Bahnhof,47.5940803,9.5989479,,,
Kryvyi Rih,Kryvyi Rih,,,,,
Kuchen Gleis 2,Kuchen Gleis 2,48.6403726,9.803683,,,
Kufstein Bahnhof,Kufstein Bahnhof,47.5830959,12.1656413,,,
Kurtalan,Kurtalan,37.92809,41.69722,,11803.0,32114.0
Kyiv Pasazhyrskyi,Kyiv Pasazhyrskyi,,,,,
Langenargen Bahnhof,Langenargen Bahnhof,47.5994777,9.5445998,,,
Langenau (Württ),Langenau (Württ),48.4932982,10.1258817,,11803.0,
Langenwang (Schwab),Langenwang (Schwab),47.4364373,10.2760441,,,
Latour-de-Carol / La Tor de Querol,Latour-de-Carol / La Tor de Querol,,,,,480.0
Laufenburg (Baden) Bahnhof,Laufenburg (Baden) Bahnhof,47.5641389,8.0590379,,,
Laufenburg (Baden) Ost Bahnhof,Laufenburg (Baden) Ost Bahnhof,47.5661998,8.0730696,,,
Lecce,Lecce,40.34594,18.16583,,,80695.0
Leipheim,Leipheim,48.4503455,10.2157941,,,
Leutkirch Bahnhof,Leutkirch Bahnhof,47.8262466,10.0160177,,28711.0,22362.0
Lindau-Aeschach,Lindau-Aeschach,47.5592531,9.684746,,,24518.0
Lindau-Insel,Lindau-Insel,47.5451508,9.6804521,,,24518.0
Lindau-Reutin,Lindau-Reutin,47.5522813,9.7029189,,28711.0,24518.0
Lindau-Reutin Bstg 2,Lindau-Reutin Bstg 2,47.5527784,9.7024518,,28711.0,24518.0
London Euston,London Euston,51.52817,-0.13308,,106903.0,8961989.0
London Paddington,London Paddington,51.51686,-0.1769,,,8961989.0
Lozova,Lozova,,,,,
Ludwigshafen(Bodensee) Bahnhof,Ludwigshafen(Bodensee) Bahnhof,47.8156006,9.0531495,,,
Luleå C,Luleå C,65.58417,22.16527,,,77832.0
Lviv,Lviv,,,,,
Lörrach Autoreisezug Terminal,Lörrach Autoreisezug Terminal,47.62011,7.66874,,,47002.0
Löwental Bahnhof,Löwental Bahnhof,47.6614629,9.4994415,,,
Malatya,Malatya,38.3768,38.32295,,,750491.0
Malmö C,Malmö C,55.60944,13.00084,,,362133.0
Mangalia,Mangalia,43.82291,28.58205,,,39619.0
Markdorf Bahnhof,Markdorf Bahnhof,47.7168416,9.3884457,,,
Martinszell (Allgäu),Martinszell (Allgäu),47.6295745,10.273978,,,
Meckenbeuren Bahnhof,Meckenbeuren Bahnhof,47.6998678,9.5584788,,28711.0,
Memmingen,Memmingen,47.985693,10.187057,,,44192.0
Milano Centrale,Milano Centrale,45.48727,9.20511,,,
Milano Porta Garibaldi,Milano Porta Garibaldi,45.4846,9.18776,,22.0,
Mukacheve,Mukacheve,,,,,
Munderkingen Gleis,Munderkingen Gleis,48.2379025,9.6455615,,,
Murg (Baden) Bahnhof,Murg (Baden) Bahnhof,47.5534878,8.0183712,,,
Mykolaiv,Mykolaiv,,,,,
München Hbf,München Hbf,48.14161,11.55794,,,
München Hbf Gleis 10,München Hbf Gleis 10,48.1401586,11.5538976,,,
München Hbf Gleis 11,München Hbf Gleis 11,48.1398829,11.5574908,,,
München Hbf Gleis 12,München Hbf Gleis 12,48.1399368,11.5574908,,,
München Hbf Gleis 13,München Hbf Gleis 13,48.1400267,11.5575178,,,
München Hbf Gleis 14,München Hbf Gleis 14,48.1400807,11.5575178,,,
München Hbf Gleis 15,München Hbf Gleis 15,48.1401826,11.5575268,,,
München Hbf Gleis 16,München Hbf Gleis 16,48.1402366,11.5575447,,,
München Hbf Gleis 17,München Hbf Gleis 17,48.1403325,11.5575717,,,
München Hbf Gleis 18,München Hbf Gleis 18,48.1403864,11.5575717,,,
München Hbf Gleis 19,München Hbf Gleis 19,48.1405003,11.5575896,,,
München Hbf Gleis 20,München Hbf Gleis 20,48.1405543,11.5576076,,,
München Hbf Gleis 23,München Hbf Gleis 23,48.140812,11.5576435,,,
München Hbf Gleis 24,München Hbf Gleis 24,48.14086,11.5576615,,,
München Hbf Gleis 25,München Hbf Gleis 25,48.1409679,11.5576705,,,
München Hbf Gleis 7,München Hbf Gleis 7,48.1399548,11.5537988,,,
München Süd,München Süd,48.12157,11.55297,,,
"München, Hauptbahnhof (U, Tram)","München, Hauptbahnhof (U, Tram)",48.1401287,11.560581,,,
München-Pasing,München-Pasing,48.14985,11.46187,,,
Münster (Westf) Hauptbahnhof,Münster (Westf) Hauptbahnhof,51.9566277,7.6353295,,290061.0,4738.0
Narvik,Narvik,68.4417,17.44142,,,
Nersingen,Nersingen,48.4300596,10.1178597,,,
Neu-Ulm,Neu-Ulm,48.3934601,10.0059207,,28711.0,51389.0
Nice Ville,Nice Ville,43.70484,7.26197,,12131450.0,357737.0
Nonnenhorn,Nonnenhorn,47.5752,9.6126293,,,
Nürnberg Hbf,Nürnberg Hbf,49.4457552,11.0821383,,,
"Oberkochen, Bahnhof","Oberkochen, Bahnhof",48.7824026,10.10761,,,
Oberstaufen,Oberstaufen,47.5538819,10.0253602,,,
Oberstdorf,Oberstdorf,47.4113971,10.2785324,,,
Odesa Holovna,Odesa Holovna,,,,,
Oradea,Oradea,47.07012,21.93653,,,183105.0
Osijek,Osijek,45.55269,18.68362,,,75535.0
Oslo S,Oslo S,59.9104,10.755,,,1082575.0
Ostbahnhof Gleis 6,Ostbahnhof Gleis 6,48.1274186,11.6053531,,,
Ostbahnhof Gleis 7,Ostbahnhof Gleis 7,48.1273886,11.605407,,,
Ostbahnhof Gleis 8,Ostbahnhof Gleis 8,48.1273047,11.6055327,,,
Palermo Centrale,Palermo Centrale,38.10942,13.36747,,,648260.0
Paris Austerlitz,Paris Austerlitz,48.84185,2.36646,,23798578.0,2103778.0
Paris Gare de l'Est,Paris Gare de l'Est,48.8785739,2.3603054,,,2103778.0
Paris Gare du Nord,Paris Gare du Nord,48.88085,2.3555,,257024152.0,2103778.0
Pasing,Pasing,48.1501865,11.4620269,,,35728.0
Pasing Gleis 2,Pasing Gleis 2,48.1495992,11.4617933,,,35728.0
Pasing Gleis 3,Pasing Gleis 3,48.1496771,11.4616496,,,35728.0
Pasing Gleis 4,Pasing Gleis 4,48.149779,11.4617214,,,35728.0
Pasing Gleis 9,Pasing Gleis 9,48.1500966,11.461955,,,35728.0
Passau Hbf,Passau Hbf,48.5738108,13.450304,,,50560.0
Penzance,Penzance,50.12245,-5.53191,,,19872.0
Plochingen Gleis 1,Plochingen Gleis 1,48.7130825,9.4116941,,,
Plochingen Gleis 3,Plochingen Gleis 3,48.7130529,9.4115773,,,
Plochingen Gleis 4,Plochingen Gleis 4,48.7129581,9.4113527,,,
Praha hl.n.,Praha hl.n.,50.08321,14.43531,,,
Przemyśl Gł.,Przemyśl Gł.,49.78366,22.77636,,,67013.0
Radolfzell Bahnhof,Radolfzell Bahnhof,47.7356829,8.9691391,,,31734.0
Rakhiv,Rakhiv,,,,,
Ravensburg Bahnhof,Ravensburg Bahnhof,47.7843738,9.6061255,,,48825.0
Reggio Calabria Centrale,Reggio Calabria Centrale,38.10453,15.63646,,,182455.0
Reichenbach (F) Gleis 2,Reichenbach (F) Gleis 2,48.7080085,9.4644522,,,
Rheinfelden (Baden) Bahnhof,Rheinfelden (Baden) Bahnhof,47.5568707,7.784396,,,34674.0
Rijeka,Rijeka,45.33032,14.43111,,,107964.0
Rodez,Rodez,44.36277,2.58039,,312754.0,23981.0
Rohrenfeld,Rohrenfeld,48.7212676,11.2588908,,,
Roma Termini,Roma Termini,41.90049,12.50279,,,
Roma Tiburtina,Roma Tiburtina,41.91107,12.53146,,11803.0,
Rosenheim,Rosenheim,47.8498652,12.1191625,,,60167.0
Rovaniemi,Rovaniemi,66.49809,25.70537,,,65670.0
Röthenbach (Allgäu),Röthenbach (Allgäu),47.6205533,9.953504,,,
"Salem, Bahnhof","Salem, Bahnhof",47.7577,9.2969523,,,
Salerno,Salerno,40.67531,14.77256,,,125797.0
Salzburg Hauptbahnhof,Salzburg Hauptbahnhof,47.8131273,13.0457926,,,157245.0
Satu Mare,Satu Mare,47.79629,22.8946,,,112490.0
Schaffhausen,Schaffhausen,47.6982838,8.6327559,,106903.0,36587.0
Schelklingen,Schelklingen,48.3715701,9.7350607,,,
Schwabmünchen,Schwabmünchen,48.1785813,10.7677998,,,
Schwörstadt Bahnhof,Schwörstadt Bahnhof,47.5908634,7.8693766,,865.0,
Senden,Senden,48.3239811,10.050531,,,22275.0
Silistra,Silistra,,,,,29498.0
Singen (Htw) Bahnhof,Singen (Htw) Bahnhof,47.7596204,8.8421802,,,47621.0
Sipplingen Bahnhof,Sipplingen Bahnhof,47.7955392,9.0956039,,,
Siracusa,Siracusa,37.06891,15.28173,,106903.0,121605.0
Sofia,Sofia,,,,,1152556.0
Solotvyno,Solotvyno,,,,,
Sontheim (Brenz),Sontheim (Brenz),48.5591633,10.2849464,,,
Sonthofen,Sonthofen,47.5134038,10.2721813,,,21285.0
Split,Split,43.50489,16.44279,,,149830.0
St. Georgen Bahnhof,St. Georgen Bahnhof,48.1242106,8.3428606,,,
Stavanger,Stavanger,58.96654,5.7324,,,148682.0
Stockholm C,Stockholm C,59.33001,18.05763,,,1515017.0
Storlien,Storlien,63.31589,12.10065,,,
Strasbourg Gare Centrale,Strasbourg Gare Centrale,48.5851086,7.7338837,,24568668.0,293771.0
Stuttgart Hauptbahnhof (oben) Gleis 1,Stuttgart Hauptbahnhof (oben) Gleis 1,48.7856758,9.1822195,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 11,Stuttgart Hauptbahnhof (oben) Gleis 11,48.7851371,9.1833513,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 12,Stuttgart Hauptbahnhof (oben) Gleis 12,48.785078,9.1834861,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 13,Stuttgart Hauptbahnhof (oben) Gleis 13,48.7850424,9.1835849,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 14,Stuttgart Hauptbahnhof (oben) Gleis 14,48.7849833,9.1837017,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 15,Stuttgart Hauptbahnhof (oben) Gleis 15,48.78493,9.1838005,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 16,Stuttgart Hauptbahnhof (oben) Gleis 16,48.7848826,9.1839532,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 3,Stuttgart Hauptbahnhof (oben) Gleis 3,48.7855574,9.182444,,,612663.0
Stuttgart Hauptbahnhof (oben) Gleis 9,Stuttgart Hauptbahnhof (oben) Gleis 9,48.7852318,9.1831178,,,612663.0
Stuttgart Hbf,Stuttgart Hbf,48.78408,9.18164,,,612663.0
Suceava Nord,Suceava Nord,47.67639,26.23626,,,84308.0
Sumy,Sumy,,,,,
Szklarska Poręba Górna,Szklarska Poręba Górna,50.83167,15.52059,,,
Süßen Gleis 3,Süßen Gleis 3,48.6838225,9.7597733,,106903.0,
Tannheim (Württ),Tannheim (Württ),47.9948974,10.0967763,,11803.0,
Tarbes,Tarbes,43.23997,0.06939,,861314.0,44399.0
Tatvan,Tatvan,38.50882,42.2762,,,73222.0
Tiengen (Hochrhein) Bahnhof,Tiengen (Hochrhein) Bahnhof,47.635513,8.2723429,,,
Timişoara Nord,Timişoara Nord,45.7509,21.20805,,,250849.0
Torino Lingotto,Torino Lingotto,45.02669,7.65695,,,
Torino Porta Susa,Torino Porta Susa,45.07176,7.66639,,106903.0,
Toulouse Matabiau,Toulouse Matabiau,43.61121,1.45369,,14522596.0,514819.0
Triberg Bahnhof,Triberg Bahnhof,48.1398769,8.2367336,,,
Trieste Centrale,Trieste Centrale,45.65788,13.77251,,,204338.0
Trondheim S,Trondheim S,63.43624,10.39914,,,216518.0
Truskavets,Truskavets,,,,106903.0,
Turku satama / Åbo hamn,Turku satama / Åbo hamn,,,,203396.0,206655.0
Uhingen Gleis 2,Uhingen Gleis 2,48.708702,9.5846737,,,
Uhldingen-Mühlhofen Bahnhof,Uhldingen-Mühlhofen Bahnhof,47.7369033,9.24856,,14285.0,
Ulm Hauptbahnhof,Ulm Hauptbahnhof,48.3993472,9.9829328,,,120451.0
Ulm Hbf,Ulm Hbf,48.3993531,9.9825824,,,120451.0
Uzhhorod,Uzhhorod,,,,,
Varna,Varna,,,,,318737.0
Vatra Dornei Băi,Vatra Dornei Băi,47.34743,25.35576,,,16054.0
Venezia Santa Lucia,Venezia Santa Lucia,45.44139,12.32046,,1680.0,
Villach Hbf,Villach Hbf,46.61862,13.84854,,,58882.0
Villach Hbf-Autoverladestelle,Villach Hbf-Autoverladestelle,46.61862,13.84844,,,58882.0
Villingen Bahnhof/ZOB,Villingen Bahnhof/ZOB,48.0574452,8.4656783,,,
Vorokhta,Vorokhta,,,,,
Waldshut Bahnhof,Waldshut Bahnhof,47.6215161,8.2193782,,,
Wangen Bahnhof,Wangen Bahnhof,47.6891415,9.8304438,,,639.0
Warszawa Wschodnia,Warszawa Wschodnia,52.25183,21.05204,,,
Warszawa Zachodnia,Warszawa Zachodnia,52.21998,20.9653,,,
Wasserburg (Bodensee),Wasserburg (Bodensee),47.5718123,9.6392733,,,
Wehr-Brennet Bahnhof,Wehr-Brennet Bahnhof,47.5808842,7.9105284,,,
Weichering,Weichering,48.7206808,11.3306842,,,
Westerstetten,Westerstetten,48.5188013,9.9500455,,,
Wien Hbf,Wien Hbf,48.1851,16.37711,,,
Wien Westbf,Wien Westbf,48.1968,16.3377,,,
Wyhlen Bahnhof,Wyhlen Bahnhof,47.5463575,7.6908544,,,
Yasinia,Yasinia,,,,,
Zagreb Gl. K.,Zagreb Gl. K.,45.80489,15.97961,,,663592.0
Zakopane,Zakopane,49.30245,19.96219,,,27266.0
Zaporizhzhia 1,Zaporizhzhia 1,,,,,
Zemun,Zemun,44.85313,20.3687,,,155591.0
Zürich HB,Zürich HB,47.37818,8.54021,,,415367.0
Überlingen Bahnhof Therme,Überlingen Bahnhof Therme,47.769505,9.1447148,,,21507.0
İstanbul Halkalı,İstanbul Halkalı,41.01849,28.76616,,,15701602.0
İzmir Basmane,İzmir Basmane,38.42271,27.14408,,,2938292.0
Łeba,Łeba,54.75691,17.5532,,,
Świnoujście,Świnoujście,53.90482,14.26663,,,40919.0
