origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,trip_count_corridor,trip_count_origin,service_share,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Altona,München Hbf Gleis 14,EuroNight,35.110456096525205,147.75416112610137,112.64370502957615,0,612.427282339529,53.5519791,9.9343519,48.1400807,11.5575178,Altona,München Hbf Gleis 14,2.0,87.0,0.022988505747126436,,250192.0,,
Altona,Nürnberg Hbf,EuroNight,26.56876589329071,98.34736282177252,71.77859692848182,1,463.4356513743365,53.5519791,9.9343519,49.4457552,11.0821383,Altona,Nürnberg Hbf,27.0,87.0,0.3103448275862069,,250192.0,,
Altona,Ostbahnhof Gleis 6,EuroNight,35.22603971051883,147.75416112610137,112.52812141558253,0,614.4433928225856,53.5519791,9.9343519,48.1274186,11.6053531,Altona,Ostbahnhof Gleis 6,14.0,87.0,0.16091954022988506,,250192.0,,
Altona,Ostbahnhof Gleis 8,EuroNight,35.22689144369295,147.75416112610137,112.52726968240842,0,614.4582494975222,53.5519791,9.9343519,48.1273047,11.6055327,Altona,Ostbahnhof Gleis 8,18.0,87.0,0.20689655172413793,,250192.0,,
Altona,Pasing Gleis 9,EuroNight,34.97824054933434,147.58071035299716,112.60246980366281,0,610.121063131595,53.5519791,9.9343519,48.1500966,11.461955,Altona,Pasing Gleis 9,3.0,87.0,0.034482758620689655,,250192.0,,35728.0
Altona,Rosenheim,EuroNight,37.398765921295706,177.09678047357883,139.69801455228313,0,652.3419836262987,53.5519791,9.9343519,47.8501304,12.119432,Altona,Rosenheim,28.0,87.0,0.3218390804597701,,250192.0,,60167.0
Altstädten (Allgäu),Ulm Hbf,Train Longue Distance Nuit,0.09146870518909607,,,0,103.70601495362367,47.4883577,10.280886,48.3993531,9.9825824,Altstädten (Allgäu),Ulm Hbf,144.0,312.0,0.46153846153846156,,,,120451.0
Amsterdam Centraal,Innsbruck Hbf,Nightjet,36.95080284880041,183.30433797467967,146.35353512587926,0,734.988320977054,52.37921,4.90029,47.26337,11.40111,Amsterdam Centraal,Innsbruck Hbf,,,,,741636.0,,132493.0
Amsterdam Centraal,Milano Centrale,InterCity,41.62607305114689,222.89528511551345,181.26921206436657,0,827.9841081104923,52.37921,4.90029,45.48727,9.20511,Amsterdam Centraal,Milano Centrale,,,,,741636.0,,
Amsterdam Centraal,Wien Hbf,Nightjet,47.15037481931036,240.8216810086296,193.67130618931924,0,937.867979856593,52.37921,4.90029,48.1851,16.37711,Amsterdam Centraal,Wien Hbf,,,,,741636.0,,
Amsterdam Centraal,Zürich HB,Nightjet,30.869305746002446,150.58851960661812,119.71921386061567,0,614.0212783148834,52.37921,4.90029,47.37818,8.54021,Amsterdam Centraal,Zürich HB,,,,,741636.0,,415367.0
"Amsterdam, Centraal",Dortmund Hbf,EuroNight,10.042844115994122,86.32928664663707,76.28644253064294,1,199.76218554310623,52.3789574,4.9006063,51.5177175,7.4587657,"Amsterdam, Centraal",Dortmund Hbf,40.0,235.0,0.1702127659574468,,,,588462.0
"Amsterdam, Centraal",Freilassing,EuroNight,38.4699863115845,210.27774782486105,171.80776151327655,0,765.2063951860704,52.3789574,4.9006063,47.8367638,12.9764786,"Amsterdam, Centraal",Freilassing,24.0,235.0,0.10212765957446808,,,,15909.0
"Amsterdam, Centraal",Ingolstadt Hbf,EuroNight,30.82652030406724,149.8988182712433,119.07229796717606,0,613.1702332033904,52.3789574,4.9006063,48.7446003,11.4372693,"Amsterdam, Centraal",Ingolstadt Hbf,81.0,235.0,0.3446808510638298,,,,120658.0
"Amsterdam, Centraal",Kufstein Bahnhof,EuroNight,37.39212635477388,186.27017863944073,148.87805228466686,0,743.7666856580714,52.3789574,4.9006063,47.5830959,12.1655874,"Amsterdam, Centraal",Kufstein Bahnhof,80.0,235.0,0.3404255319148936,,,,
"Amsterdam, Centraal",München Hbf Gleis 10,EuroNight,33.54303286185423,176.37470338052273,142.8316705186685,0,667.2043772497559,52.3789574,4.9006063,48.1401586,11.5538976,"Amsterdam, Centraal",München Hbf Gleis 10,4.0,235.0,0.01702127659574468,,,,
