service_id -- 2024 -- ,monday ,tuesday ,wednesday ,thursday ,friday ,saturday ,sunday ,start_date ,end_date ,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
2024/06/05-2024/10/05: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20240605.0,20241005.0,,,,,,,,,,,,,,,,
2024/06/14-2024/09/07: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024/06/15-2024/09/08: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024/06/22-2024/09/01: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20240622.0,20240901.0,,,,,,,,,,,,,,,,
2024/06/29-2024/09/07: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20240629.0,20240907.0,,,,,,,,,,,,,,,,
"2024/05/03-2024/10/02: Wed, Fri, Sun",0.0,0.0,1.0,0.0,1.0,0.0,1.0,20240503.0,20241002.0,,,,,,,,,,,,,,,,
"2024/05/04-2024/10/03: Mon, Thu, Sat",1.0,0.0,0.0,1.0,0.0,1.0,0.0,20240504.0,20241003.0,,,,,,,,,,,,,,,,
-- 2025 --,,,,,,,,,,,,,,,,,,,,,,,,,
2025: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Mon, Wed, Thu",1.0,0.0,1.0,1.0,0.0,0.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Mon, Wed, Fri",1.0,0.0,1.0,0.0,1.0,0.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Mon, Thu, Sat",1.0,0.0,0.0,1.0,0.0,1.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Tue, Thu, Sat",0.0,1.0,0.0,1.0,0.0,1.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Tue, Thu, Sun",0.0,1.0,0.0,1.0,0.0,0.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Wed, Fri, Sat",0.0,0.0,1.0,0.0,1.0,1.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Wed, Fri, Sun",0.0,0.0,1.0,0.0,1.0,0.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Wed, Sat",0.0,0.0,1.0,0.0,0.0,1.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Wed, Sat, Sun",0.0,0.0,1.0,0.0,0.0,1.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Thu, Sat, Sun",0.0,0.0,0.0,1.0,0.0,1.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Thu, Sun",0.0,0.0,0.0,1.0,0.0,0.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
2025: Fri,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Fri, Sat",0.0,0.0,0.0,0.0,1.0,1.0,0.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Fri, Sun",0.0,0.0,0.0,0.0,1.0,0.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
"2025: Sat, Sun",0.0,0.0,0.0,0.0,0.0,1.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
2025: Sun,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20241215.0,20251213.0,,,,,,,,,,,,,,,,
2025/05-09: Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20250501.0,20250930.0,,,,,,,,,,,,,,,,
2024/10-2025/06: Fri,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20241001.0,20250630.0,,,,,,,,,,,,,,,,
2024/10-2025/06: Sun,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20241001.0,20250630.0,,,,,,,,,,,,,,,,
"2025/06/25-09/27: Wed, Sat",0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
"2025/06/26-09/28: Thu, Sun",0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
