route_id,agency_id,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,route_type,version,is_active,origin_trip_0,destination_trip_0,distance,emissions,classes,countries,source,source_interrail,picture,emissions_relation
20,CFR,CFR,,,1641 (SM) = 1642 (SM),,1641 (SM): București Nord - Ploiești Vest - Câmpina - Brașov - Miercurea Ciuc - Beclean pe Somes - Baia Mare - Satu Mare // 1642 (SM): Satu Mare - Baia Mare - Beclean pe Somes - Miercurea Ciuc - Brașov - Câmpina - Ploiești Vest - București Nord,2,,Y,București,Satu Mare,758.0,14.8,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/en/,,,
249,CFR,CFR,,,R-E 4007/1642 = 1641/R-E 4008,,R-E 4007/1642: Bistrița Nord - Sărățel - Gheorgheni - Brașov - Câmpina - Ploiești Vest - București Nord // 1641/R-E 4008: București Nord - Ploiești Vest - Brașov - Gheorgheni - Sărățel - Bistrița Nord,2,,Y,Bistrița,București,451.0,9.9,"seat, couchette",RO,https://www.cfrcalatori.ro/,,,
250,CFR,CFR,,,1641 (CN) = 1642 (CN),,1641 (CN): București Nord - Ploiești Vest - Brașov - Sighișoara - Cluj-Napoca // 1642 (CN): Cluj-Napoca - Sighișoara - Brașov - Câmpina - Ploiești Vest - București Nord,2,,Y,București,Cluj-Napoca,493.0,10.3,"seat, couchette",RO,https://www.cfrcalatori.ro/,,,
19,CFR,CFR,,,1653 = 1654,,1653: București Nord - Ploiești Sud - Suceava - Câmpulung Moldovenesc - Vatra Dornei - Vatra Dornei Băi // 1654: Vatra Dornei Băi - Vatra Dornei - Câmpulung Moldovenesc - Suceava - Ploiești Sud - București Nord,2,,Y,București,Vatra Dornei,606.0,13.0,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
23,CFR,CFR,,,1667 = 1668,,1667: București Nord - Ploiești Sud - Buzău - Iași // 1668: Iași - Vaslui - Bârlad - București Nord,2,,Y,București,Iași,405.0,9.8,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
14,CFR,CFR,,,78/1743 = 1744/79,,78/1743: București Nord - Craiova - Timişoara Nord - Arad - Oradea // 1744/79: Oradea - Arad - Timişoara Nord - Craiova - București Nord,2,,Y,București,Oradea,711.0,17.1,"seat, sleeper",RO,https://www.cfrcalatori.ro/,,,
15,CFR,CFR,,,1763 = 1765,,1763: Iași - Suceava - Câmpulung Moldovenesc - Vatra Dornei - Beclean pe Somes - Dej - Cluj-Napoca - Deva - Arad - Timişoara Nord // 1765: Timişoara Nord - Arad - Deva - Alba Iulia - Cluj-Napoca - Dej - Beclean pe Somes - Câmpulung Moldovenesc - Suceava - Iași,2,,Y,Iași,Timişoara,849.0,18.0,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
21,CFR,CFR,,,1821 = 1822,,1821: București Nord - Craiova - Petroșani - Deva - Arad // 1822: Arad - Deva - Petroșani - Craiova - București Nord,2,,Y,București,Arad,604.0,14.0,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
11,CFR,CFR,,,1837 = 1838,,1837: Iași - Suceava - Câmpulung Moldovenesc - Cluj-Napoca // 1838: Cluj-Napoca - Dej - Beclean pe Somes - Vatra Dornei - Iași,2,,Y,Iași,Cluj-Napoca,459.0,9.5,"seat, couchette",RO,https://www.cfrcalatori.ro/,,,
26,CFR,CFR,,,1920 = 1922,,1920: Constanța - București Nord - Craiova - Petroșani - Deva - Arad - Oradea // 1922: Oradea - Arad - Deva - Petroșani - Craiova - București Nord - Constanța,2,,Y,Constanța,Oradea,991.0,,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
