stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
61,61,La Pléiade,43.9537652627,4.8489711633,0,
650,650,Reine Jeanne,43.9461957704,4.8335602167,0,
664,664,Reine Jeanne,43.946422557,4.8330846687,0,
225,225,Renoir,43.9502962971,4.8519551128,0,
48,48,Renoir,43.950297735,4.8518929255,0,
1031,1031,Rétanque,43.9585752126,4.9337220949,0,
1084,1084,Rétanque,43.9587722948,4.9337560163,0,
819,819,Rêveuses,43.9272612966,4.8732368286,0,
820,820,Rêveuses,43.9274468029,4.8729962073,0,
453,453,Rhodes,43.9742078613,4.8271699558,0,
466,466,Rhodes,43.9743928603,4.8273399936,0,
226,226,Rimbaud,43.9522714412,4.8560019202,0,
49,49,Rimbaud,43.9521749048,4.8558980315,0,
1934,1934,Berton Sicard,43.9369779907,4.8444321082,0,1
816,816,Berton Sicard,43.9372923848,4.8440601251,0,1
606,606,Cardelines,43.9512160317,4.8491322696,0,
630,630,Cardelines,43.9514233975,4.8483321684,0,
1138,1138,Collège Haigneré,43.97358458,4.6781955292,0,
1154,1154,Collège Haigneré,43.9734019093,4.6783249918,0,
2280,2280,Collège Haigneré,43.9733160625,4.6781346341,0,1
2050,2050,Roberty,43.9710548683,4.8679204633,0,1
2051,2051,Roberty,43.9714511028,4.8679007701,0,1
211,211,Henri Nodet,43.9399732003,4.8334857796,0,1
268,268,Henri Nodet,43.94014364,4.8335057215,0,1
35,35,Rose des Vents,43.9527468063,4.843211224,0,
63,63,Rose des Vents,43.953054322,4.8431376453,0,
758,758,Blagier,44.0065650836,4.9374772947,0,1
971,971,Blagier,44.006558541,4.9377511803,0,1
899,899,Rostand,43.9734261207,4.9030135497,0,
900,900,Rostand,43.9734408638,4.9031512273,0,
552,552,Rotondes,43.9396034388,4.8209595582,0,1
579,579,Rotondes,43.9392727509,4.8216546062,0,1
500,500,Roubine,43.9419377436,4.8948682009,0,
526,526,Roubine,43.9420368746,4.8948602183,0,
1493,1493,Roumanille,43.9341549598,4.8279402052,0,1
575,575,Roumanille,43.9341044647,4.8277886319,0,1
2142,2142,Palais de Justice,43.9437201835,4.8167453158,0,
2143,2143,Palais de Justice,43.9444005384,4.8168870698,0,1
2394,2394,Palais de Justice,43.9446263132,4.8168471363,0,1
33,33,Esprit Requien,43.9515866854,4.8342081621,0,1
65,65,Esprit Requien,43.9516112241,4.8339228825,0,1
511,511,Colvert,43.9824361865,4.7146471816,0,
2386,2386,Ste Anne,43.9531654783,4.8099863517,0,
2337,2337,Blanchissage,43.9399709601,4.8016443176,0,1
2338,2338,Blanchissage,43.9398493884,4.8014523258,0,1
498,498,St André,43.940961676,4.9034634103,0,1
528,528,St André,43.9411665766,4.9035473631,0,1
505,505,St Augustin,43.948104992,4.9037863446,0,
519,519,St Augustin,43.9479615203,4.9037674078,0,
102,102,St Dominique,43.9479219973,4.8004582167,0,
1123,1123,St Dominique,43.9479219973,4.8004582167,0,
1155,1155,St Exupéry,43.976785392,4.6815908377,0,
1285,1285,St Exupéry,43.9770241368,4.6821985527,0,
2,2,St Gabriel,43.9238852076,4.8262826962,0,
31,31,Boccace,43.9478100276,4.8290622212,0,
67,67,Boccace,43.9478665059,4.8289526545,0,
2257,2257,St Jean,43.9471386508,4.8281363952,0,1
2265,2265,St Jean,43.9470957169,4.8280473657,0,1
1545,1545,St Lazare,43.9503664366,4.819538088,0,1
1899,1899,St Lazare,43.9508988609,4.8194617698,0,
2448,2448,St Lazare,43.9512437221,4.8193274475,0,1
399,399,Corot,43.9376225698,4.8709487355,0,
425,425,Corot,43.9378295234,4.8709455236,0,
493,493,St Louis,43.9374322617,4.8867859245,0,
533,533,St Louis,43.9373209389,4.8869302959,0,
400,400,St Martin,43.9427401341,4.8682641566,0,
430,430,St Martin,43.942845933,4.868356014,0,
1746,1746,St Roch,43.9428787143,4.8011356767,0,
1596,1596,Les Roseaux,43.9621523056,4.9300750734,0,
620,620,Les Roseaux,43.962691334,4.9297261013,0,
1045,1045,Bonpas,43.8895699103,4.9135547474,0,
1054,1054,Bonpas,43.889297835,4.9155447933,0,
614,614,St Saturnin Centre,43.9568656586,4.9311036683,0,1
622,622,St Saturnin Centre,43.9566244524,4.9306568252,0,
32,32,St Véran,43.9504903178,4.8298521873,0,
66,66,St Véran,43.9503592393,4.8296845802,0,
108,108,Ste Thérèse,43.9562531406,4.7840231014,0,
150,150,Ste Thérèse,43.9565513189,4.7835628089,0,
495,495,Salvador,43.9352950481,4.9015518179,0,
531,531,Salvador,43.9354080439,4.9017187347,0,
2302,2302,Sanctuaire ND,43.9828096758,4.7016332099,0,
1908,1908,Bel Air,43.9311266124,4.8473723563,0,1
351,351,Bel Air,43.931255279,4.8472535842,0,1
710,710,Sandoz,43.9290687607,4.8686255454,0,
717,717,Sandoz,43.9290687607,4.8686255454,0,
501,501,Saules,43.9429531105,4.8933827431,0,
525,525,Saules,43.9434786445,4.8932196725,0,
2377,2377,Sixte Isnard,43.9376706962,4.8134191058,0,
2378,2378,Sixte Isnard,43.9375771713,4.8119960451,0,
743,743,Bonaventure,43.9564020607,4.8387655637,0,
1237,1237,Soeurs,43.9384623962,4.8777453234,0,
514,514,Soeurs,43.9386603648,4.8777417342,0,
1784,1784,Sorgue Bleue,43.9555459436,4.8583137707,0,
40,40,Sorgue Bleue,43.9552807498,4.8585012126,0,
1956,1956,Souvine,43.9254539103,4.856579621,0,1
1957,1957,Souvine,43.9256469244,4.8564015118,0,1
2395,2395,Simone Veil,43.9471192411,4.8144163677,0,1
228,228,Stade de Coubertin,43.955273354,4.862696982,0,
254,254,Stade de Coubertin,43.9555823594,4.8629473079,0,
1207,1207,Bonn,43.9563999288,4.8888084209,0,
1208,1208,Bonn,43.9563999288,4.8888084209,0,
1537,1537,Courtine,43.9278289085,4.7908875977,0,1
748,748,Synagogue,43.9549467356,4.8253538309,0,
1195,1195,Tayolle,43.9768163265,4.9125713664,0,
1196,1196,Tayolle,43.9769192898,4.9124016511,0,
2343,2343,Tayolle,43.9765589891,4.9139423317,0,
1183,1183,Coubertin,43.9304556972,4.8452642466,0,1
1184,1184,Coubertin,43.9303678505,4.845173246,0,1
1553,1553,Thiers,43.9468697942,4.8174680008,0,1
1586,1586,CCAS,43.94589754,4.8167159268,0,1
1801,1801,Thiers,43.947191483,4.8179551307,0,1
1494,1494,Toulourenc,43.9505978223,4.8431786029,0,
2252,2252,Toulourenc,43.9509324948,4.8438781437,0,
2256,2256,Toulourenc,43.9509754159,4.8439671912,0,
143,143,Tour des Masc,43.9540739826,4.7648672429,0,1
1669,1669,Bonne Fleur,43.9276953192,4.7856425134,0,
1675,1675,Bonne Fleur,43.9275737202,4.7854505974,0,
446,446,Traille,43.9554378559,4.8093382822,0,
