trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09773:5200:3:2,16,15:31:00,15:31:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09773:7350:3:2,17,15:35:00,15:34:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09774:2600:4:4,18,15:50:00,15:44:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09774:2942:3:2,19,15:54:00,15:53:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09775:4801:5:3,20,15:59:00,15:59:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:09775:1711:2:1,21,16:05:00,16:04:00,2,RB 15,
ddb-90-N15-1-1-219-R-56-Special#5814-420-280,de:08421:1008:35:27,22,16:08:00,16:08:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09161:9000:5:7,1,15:11:00,15:11:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:8708:1:2,2,15:20:00,15:19:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:8709:1:1,3,15:24:00,15:23:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:7600:1:3,4,15:29:00,15:28:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:7967:1:2,5,15:34:00,15:33:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:8707:1:1,6,15:37:00,15:36:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09185:7954:1:2,7,15:39:00,15:39:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09779:5451:1:3,8,15:44:00,15:44:00,2,RB 15,
